voulez	要，想要
tous les jours	每天
prenez	带，乘坐，上
baguette	法棍面包
n'est pas marié	未婚
marié	婚，已婚的
ensemble	一起，俱
parlez	说，谈论
cuisinez	做
dansez	跳舞，舞
Elle vient du bureau des professeurs	她来自老师们的办公室(des=de+les)
au coin de la rue	在街角(au=à+le，coin角落)
la place	广场
sur la place de l'Opéra	在歌剧院那边的广场上。
Vous faite de la natation	你是否进行游泳这一活动
Vous prenez des légumes	你吃蔬菜吗？
venons	来
marcher	走路，走
dois	应该
immeuble	大楼，建筑物;大楼
tourner	转弯；转动；翻转
devant	在……前面prep
troisième	第三的
lieu	地方
trouver	找到;找到，发现v.t.
loin	远
pont	桥
route	路
près de	靠近，接近
écoute	听
écoutons	“我们听”。例如：Nousécoutonslamusique.（我们听音乐。）
dors	睡，睡觉，睡得
lis	阅读，读
joue	演出，演得，踢得
jouent	演出，拉得，演奏。例如：Ilsjouentdupiano.（他们弹钢琴。）
enfant	小孩子，小孩，孩子
chaque	每个，每，每场
regarde	看
jour	天，日子
légume	蔬菜
prêt	准备好了
prête	准备好了，借
prennent	拿，吃，喝，动词 prendre 的第三人称复数形式。
œuf	鸡蛋，蛋
venir	来，去（朝着说话者的方向或某个特定的地方移动）vs “aller”离开说话者所在的地方前往别的地方
