environ	副词(表概数,相当于 “大约、大概”)=英语 approximately
se mettent	变得 / 进入(...... 状态)反身动词短语 “se mettre”(原形)的直陈式现在时,主语为 “des gens”(第三人称复数)时的变位
des gros mots	粗话 / 脏话=英语 swear words / curse words
une tasse	“杯子”  = a cup
Valeur Sentimentale	“片名《情感价值》。”
C'est un film norvégien	“这是一部挪威电影。”(Norway)
Norvège	“挪威”=Norway
d'une trentaine d'année	介词短语,用来修饰 “femme”, 表示 “三十多岁”=about thirty years old
l'Euromillion	欧洲百万(彩票名)
une loterie	“彩票、抽奖”=a lottery
une bête	一个动物=un animal
seul	为形容词 “唯一的、仅有的”,补充说明 “只喝一杯”)
vendre	卖,出售
réchauffement	“变暖”=英语的 "warming"
climatique	“气候的”=英语的 "climatic"
