elles aiment la musique	（她们喜欢音乐。）
tes	你的（复数）
mes livres sont intéressants	（我的书很有趣。）
frères	兄弟们
ont	（有）的第三人称复数形式
étudiants	大学生们
étudie	学习(直陈式现在时第三人称单数)
habitent	（居住）的第三人称复数形式
travaillent	（工作）的第三人称复数形式
mangent	（吃）的第三人称复数形式
nous sommes	（我们是）
vous êtes	（您/你们是）
boulangerie	面包房;面包店
j'aime la musique	我喜欢音乐
nous voulons lire un livre	我们想要阅读一本书
je vais à l'école en voiture	我乘汽车去学校
nous allons à la boulangerie	我们去面包店
je vais au parc	我去公园（当à和le一起出现，要合并成au）
elle est amusante	她很有趣
nous sommes chinois	我们是中国人
il a trois chats	他有三只猫（复数）
les garcons sont étudiants	那些男孩是大学生
les filles sont en espagne	这些女孩在西班牙
mes frères aiment le chocolat	我的兄弟们喜欢巧克力
tes parents sont ici	你的父母在这里
ce sont tes filles	这是你的女儿们吗？
ses parents sont amusants	她的父母很有趣
la femme est contente	这个女人很高兴
les femmes sont contentes	那些女人很高兴（如果谈论的是复数名词，形容词词尾也要加上-s）
jus	果汁
voudrais	(jeveux我想要:是直陈式，相当于“Iwant”）“jevoudrais”类似于“Iwouldlike”（更加委婉）
serveur	服务员
toilettes	卫生间
personne	人；任何人；没有人
amusantes	有趣的
amusants	有趣的
intelligentes	聪明的；有智慧
intelligente	聪明的
contents	高兴的
mexicaines	墨西哥的；墨西哥人
contente	高兴的；满意；很高兴
ses	“他的/她的/它的（复数）”
ses livres sont intéressants	他/她/它的书很有趣。
ce sont	他们是；她们是
aiment	喜欢（第三人称复数形式）
ma femme est journaliste	我妻子是记者
la fille de paul	"Paul的女儿"
le fils de paul	"Paul的儿子"
je veux	（我想要）
on veut	（它想要）
boutique	商店
j'étudie à bordeaux	我在波尔多学习
étudiant	男大学生
étudiante	女大学生
le chat de marie	"Marie的猫"
lire un livre	阅读一本书
je prends	（我乘坐/拿）
tu vas au restaurant	你去饭馆
des chiens	这些狗
les étudiants étudient	那些大学生学习
ils travaillent en france	他们在法国工作
marie va à l'aéroport en voiture	"Marie乘汽车去那个机场"
Je prends la voiture	我乘坐汽车
c'est une valise	这是一个手提箱
où est le restaurant	这家饭馆在哪里？
un croissant s'il vous plaît	请给我一个牛角面包
la gare	那座火车站
le croissant français	那个法国牛角面包
paul habite avec son père	"Paul和他父亲一起住"
frère	兄弟
mari	丈夫
femme	妻子
son père	他的，她的父亲（加阳性名词）
ma famille habite en france	我一家人住在法国
parle	说话
ma mère et sa sœur	我母亲和她的姐妹
la femme	这个女人（la用于阴性名词）
je vais	我去
j'ai	我有（当动词以原音开头，je要改成j')
gants	手套
compagne	同伴；伴侣；伙伴
l'aéroport	这个/那个机场
aéro	“大气”和“航空”（名词）
Tu vas à la gare	你要去火车站
j'ai une valise	我有一个手提箱
voiture	汽车
billet	票,入场券,门票，（车、船）票
s'il vous plait	请给我；请问。
Où est le taxi	出租车在哪里？
tu prends la voiture	你乘坐汽车吗？
le restaurant espagnol	那家西班牙饭馆
berlin	柏林
c'est une gare francaise	这是一座法国火车站
chanson	歌曲
tu vas à l'aéroport	你去这个机场
j'habite en france	我住在法国（不发音的h前面的短词，经常和后面的单词合并缩写）
je travaille en espagne	我在西班牙工作
gabriel est espagnol	"Gabriel是Spanish."
le garçon	这个男孩（le用于阳性名词）
la femme	这个女人（la用于阴性名词）
l'homme	这个男人（以原音或者不发音的h开头，则用l')
je vais	我去
tu vas	你去
il va	他去
elle va	她去
nous allons	（我们去）
vous allez	（您/你们去）
ils vont	（他们去）
elles vont	（她们去）
j'ai	我有（当动词以原音开头，je要改成j')
tu as	你有
il a	他有
elle a	她有
j'ai un passeport	我有一个护照
gants	手套
gustave	古斯塔夫（人名）
compagne	同伴；伴侣；伙伴
espagnol	西班牙的；西班牙语；西班牙人
l'aéroport	这个/那个机场
aéroport	机场
aéro	“大气”和“航空”（名词）
Tu vas à Paris	你要去巴黎
avion	飞机
Tu vas à la gare	你要去火车站
un avion	一架飞机
C'est un hotel espagnol	这是一家西班牙酒店
j'ai une valise	我有一个手提箱
il a une valise	他有一个手提箱
marc a un passeport	"Marc有一本护照"
tu as un avion	你有飞机吗？
voiture	汽车
tu as une voiture francaise	你有一辆法国汽车
billet	票,入场券,门票，（车、船）票
s'il vous plait	请给我；请问。
billet d'avion	机票
Où est le taxi	出租车在哪里？
tu prends la voiture	你乘坐汽车吗？
