C'était en hiver	那是在冬天
rappelle	记得(动词“rappeler”的第1人称单数现在时变位)
ai découvert	发现了“découvert” 是动词 “découvrir” 的过去分词,“ai découvert” 构成复合过去时
caresser	摸
Pâques	复活节
des poules en chocolat	巧克力母鸡
des cloches en chocolat	巧克力钟
Des voleurs	小偷(复数)=thieves
elles sont sales	她们脏了
propres	干净的
nettoyer	清洁;打扫;擦拭
j'ai utilisé	"comme d'habitude" 我用了“像往常一样”这个表达
Ah Lisa, qu'est-ce que je vais faire de toi	啊,丽莎,我该拿你怎么办呢?
colères	形容词,“生气的,发怒的”
disait	动词 “dire(说)” 的未完成过去时第三人称单数(il、elle、on)形式
scolaire	学校的
au lieu de	代替=instead of
confiance	信心(名词)
grâce à	多亏了(介词短语)
encouragements de mes camarades	同学们的鼓励
réussi	成功(动词“réussir”的过去分词形式,意为“成功”)
fabriquer	制作(动词原形,意为“制作”)
Mais grâce aux encouragements de mes camarades, aux explications des professeurs, j'ai réussi à fabriquer un circuit électronique parfait	但是在同学的鼓励和老师的解释下,我成功地制作了一个电子电路。
fierté	(名词) - 自豪,骄傲
le son des cloches	钟声
les passants	路人
songé	想象(动词“songer”的过去分词形式)
précis	精确的,清晰的
électronique	电子的(形容词,意为“电子的”)
discutant	交谈着(动词“discuter”的现在分词形式)
un agenda	日程表;记事表n.m.
à peu près	大约
tu es en pyjama	你穿睡衣了吗?
tu es prête à aller au lit	你准备好去睡觉了吗?
hier tu n'es pas allée à l'école mais tu es allée à la bibliothèque pour lire des bandes dessinées	昨天你没去上学,而是去了图书馆看漫画。
un manga-une bande dessinée japonaise	一部日本漫画
férié	节假日的
Il était en colère	他生气了吗?
couler	流动
tousser	咳嗽
Lundi, j'ai été malade, le nez qui coule, je toussais beaucoup	周一,我生病了,流鼻涕,还咳得很厉害。
sérieuse	认真的(阴性)
quand même	“仍然,还是,尽管如此”,在句子中作状语,修饰动词 “suis allée”,表示 “我还是去了”。
mi semestre	期中考试
céréale	谷物,词性是阴性
