familière	(adj.)家庭的;(阴性）
neuve	(adj.)新的（阴性）
chère	(adj.)(m)亲爱的（阴性）
heureuse	(adj.)幸福的，美满的；快乐的;高兴的(阴性）
l'Iran	伊朗
les États-Unis	美国
les Pays-Bas	荷兰
le Caire	(开罗)个别城市名有阴阳性之分
belge	比利时的adj.;比利时人n.Belge（首字母大写）
directeur	经理n.阳性形式
directrice	经理n.阴性形式
français	法语n.m.
rendez-vous	约会，预约n.m.
sur rendez-vous	(医生接待)预约就诊(的病人)
s'il vous plaît	请，请您，请问loc.
téléphone	电话；电话机n.m
l'héroïne	女英雄；女主人公
C'est une belle voiture	这是一辆漂亮的车
La voiture est à M.Dupont	这是杜邦先生的。（表示前面已经提到过的人或事物，用定冠词la)
Vous n'avez pas de cours ce matin	你们今天上午没课吗?
Non Le professeur est malade	没有。老师病了。(表示谈话双方皆知的人或事物,用定冠词le)
Anne est la petite sœur de Paul	安娜是保罗的小妹妹。（用在受其他成分限定的名词前）
J'aime beaucoup le café	我很喜欢咖啡。（表示人或事物的总体概念）
La Terre est ronde	地球是圆的。（表示独一无二的事物。）
boulanger	面包师傅（阳性）
boulangère	面包师傅（阴性）
juif	犹太的,犹太人的（阳性）
juive	犹太的,犹太人的（阴性）
six enfants	六个孩子[sis]
six enfants	六个孩子[sis]
sept	七[sɛt]
huit	八[ɥit]
neuf	九[nœf]
dix	十[dis]
onze	十一[ɔ̃z]
douze	十二[du:z]
treize	十三[trɛ:z]
quatorze	十四[katɔrz]
quinze	十五[kɛ̃z]
seize personnes	十六个人[sɛz]
dix-sept	十七[dissɛt]
dix-huit	十八[dizɥit]
dix-neuf	十九[diznœf]
vingt	二十[vɛ̃t]
appeler	名叫
bienvenue	欢迎n.f.
italien	意大利的；n.意大利人；n.m.意大利语
la baule	拉波尔（法国西部海滨城市）
maman	妈妈（儿语，对母亲的爱称）n.f
nationalité	国籍n.f.
nom	姓氏n.m.
qui	谁pron.interr.
et voici ma femme alice	还有这是我的妻子Alice
qui est-ce	你是谁？
le serveur parle anglais	服务员说英语
la serveuse est francaise	服务员是法国人
une chanson chinoise	一首中国歌曲
merci beaucoup	非常感谢
et toi	你呢？
bonsoir	晚上好
bonne journée	祝你一天愉快
salut à demain	再见，明天见！
pour toi	给你的
l'addition s'il vous plait	请给我账单
petits	小，小的
petit	小；小的；矮
