environ	副词(表概数,相当于 “大约、大概”)=英语 approximately
se mettent	变得 / 进入(...... 状态)反身动词短语 “se mettre”(原形)的直陈式现在时,主语为 “des gens”(第三人称复数)时的变位
des gros mots	粗话 / 脏话=英语 swear words / curse words
une tasse	“杯子”  = a cup
Valeur Sentimentale	“片名《情感价值》。”
C'est un film norvégien	“这是一部挪威电影。”(Norway)
Norvège	“挪威”=Norway
d'une trentaine d'année	介词短语,用来修饰 “femme”, 表示 “三十多岁”=about thirty years old
l'Euromillion	欧洲百万(彩票名)
une loterie	“彩票、抽奖”=a lottery
avais	有(过去时,第一人称单数); (动词 avoir 的第一人称单数未完成过去时)有
raconter	“讲述”(英语=tell); “讲述”“叙述”“诉说”; 讲述;说
raison	原因;理由;理智;道理; 阴性名词,基本含义为 “理智、理性;理由、原因”=reason
deviner	猜到(动词原形); 猜到了(动词原形)
une usine	: 工厂“工厂”
C'est un peu ennuyeux	“就是有点无聊。”
nulle	“糟糕的”“差劲的”=英语bad
le concubinage	“同居”=英语cohabitation
le pacs -on vit ensemble et on signe un contrat	“民事结合(住在一起并签一份合同)。”
L'année dernière j'étais en seconde	“去年我在高一。”
chimie	“化学”
la retraite	“退休”=英语retirement
camarades	“同学”=英语classmates
linguistique	“语言学的”(英语=linguistic)
Le réalisateur utilise une caméra HD pour tourner le film	“导演使用高清摄像机拍摄电影。”
à la fois	固定短语,意为 “同时”“既...... 又......”。
utile	有用的
influenceurs	“网红”=英语influencers
TV series	“电视剧。”
l'arche	“方舟”
terre	“地球” “土地”“地面”
tel ou tel	“这个或那个”“某个”“某些”=英语this or that
continentale	“大陆的”=英语continental
désigne	“指的是”=英语refers to,原形désigner
débats	“辩论”=英语debates
émissions de variétés	“综艺节目”=英语variety shows
animateur	“主持人”=英语host
spectacle d’humour en solo sur scène	“单人舞台喜剧表演”=英语solo comedy show
