Sénégal	塞内加尔n.m.(位于西非，以其丰富的文化、音乐和多样的自然景观而闻名。)
Sénégalaise	塞内加尔人
serveuse	服务员n.f.
souvent	经常，常常adv.
Je suis guyanaise	我是圭亚那人
quarante	四十
J'aime beaucoup la danse	我真的很喜欢跳舞
Je suis boulanger	我是一名面包师
Quel professeur tu préfères	你更喜欢哪个老师？
Une Renault	雷诺车
bientôt	不久，马上adv.
à bientôt	一会儿见，回头见loc.adv.
boulangerie	面包房;面包店
Cayenne	卡宴（圭亚那的首府卡宴）
Je cherche du travail	我正在找工作
correspondante	通信者，有信件往来者（去e变成阳性）
Dakar	达喀尔（塞内加尔的首都）
guyanais	圭亚那的;圭亚那人
Lausanne	洛桑[瑞士]
littérature	文学n.f.
monde	世界n.m.
québécoise	加拿大魁北克的adj.(去e变阳性）
Écoutez et répétez les phrases	听并重复这些句子。
Je voudrais poser une question	我想要提一个问题。
Qu'est-ce que ça veut dire	这是什么意思？（用于询问某个单词、短语、句子或者某个情况所表达的含义。）
Ça se prononce comment	这个怎么发音？
Je ne comprends pas	我不明白，我不懂。
Je n'ai pas bien compris	我没有理解好，我没太明白。（compris是动词“comprendre”（理解，明白）的过去分词形式）
Vous pouvez expliquer encore une fois	您（你们）可以再解释一次吗，拜托了？,s'ilvousplait
Je ne comprends pas ce qu'il faut faire	我不明白需要做什么。
Est-ce qu'il y a des devoirs	有作业吗？
il a une carte de visite	他有一张名片
cent-un	一百零一
Comment tu vas	你好吗？
Comment allez-vous	您还好吗？
J'habite à Montréal maintenant avec ma femme	我现在和我的妻子住在Montréal
Et quelle est ton adresse	那么你的地址是什么？
rue Notre-Dame	巴黎圣母院街
Et tu as une adresse e-mail	你有一个email地址吗？
arobase	电子邮件地址符号“@”
hotmail point com	点；圆点；句点，标点；分数；学分[pwɛ̃]n.m.
Comment va ton ami espagnol	你的西班牙朋友怎么样了？
Il est à Paris avec son fils	他在巴黎和他的儿子一起。
Il parle français maintenant	他现在会说法语
