avait l'air	:固定短语,“avoir l'air + 形容词” 表示 “看起来......”,这里 “avait” 同样是 “avoir” 的第三人称单数未完成过去时形式。
méchant	:形容词,意为 “凶恶的,恶意的”,描述狼看起来的样子。
comme	:在此处引导原因状语从句,意为 “因为”,说明狼害怕的原因。
bûcherons	:阳性名词 “bûcheron”(伐木工)的复数形式,意为 “伐木工们”。
a demandé	:“demander”(询问;要求)的直陈式现在完成时第三人称单数变位形式。“a” 是助动词 “avoir” 的第三人称单数变位,“demandé” 是 “demander” 的过去分词,表明 “询问” 这个动作在过去已经完成。
Il lui a demandé où elle allait	它(狼)问她(小红帽)要去哪里。
savait	:动词 “savoir”(知道)的第三人称单数未完成过去时形式,意为 “知道”,在句中作谓语,表示小女孩过去的认知状态。
de parler	:“de” 在这里引导不定式短语,“parler”(说话)是动词原形,“de parler” 表示 “说话” 这一动作,整个 “de parler à un loup” 是真正的主语,即 “和狼说话” 这件事。
voir	:动词原形,意思是 “看望;看见”,在句中作 “vais” 的补足语,表明 “去” 的目的。
dit le loup	:“dit” 是动词 “dire”(说)的第三人称单数直陈式现在时变位,“le loup” 是主语 “狼”,这部分表示 “狼说”,在句中以插入语形式出现,表明话语的发出者。
ce chemin	这条路(“ce” 是指示代词,意为 “这个” ,修饰阳性名词 “chemin”(路))
a couru	:“courir”(跑)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“couru” 是 “courir” 的过去分词,表示狼 “跑” 的动作在过去已经完成。
aussi vite que possible	:固定短语,意为 “尽可能快地” 。“aussi... que” 表示 “和...... 一样”,“vite” 是副词,意为 “快地”,“possible” 意为 “可能的”,整体用来修饰动词 “a couru”,描述狼奔跑的速度。
a pris	:“prendre” 的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“pris” 是 “prendre” 的过去分词,这里 “prendre” 表示 “选择;走(路)” 的意思,“a pris” 表明小女孩过去完成了 “选择(走)” 这个动作。
ne marchait pas	:“marcher” 意为 “行走,走路”,这里使用的是未完成过去时,描述过去持续进行的动作。意思是 “走得不快”。
oiseau	鸟(阳性名词)
et puis	:连词短语,意为 “并且,然后”,用于连接两个并列的动作或情况。
cueillir	:动词原形,意为 “采摘”
Bien sûr	:固定短语,意为 “当然”,在句首作状语,表明一种肯定的态度或理所当然的语气。
