confiance	信心(名词)
grâce à	多亏了(介词短语)
encouragements de mes camarades	同学们的鼓励
réussi	成功(动词“réussir”的过去分词形式,意为“成功”)
fabriquer	制作(动词原形,意为“制作”)
Mais grâce aux encouragements de mes camarades, aux explications des professeurs, j'ai réussi à fabriquer un circuit électronique parfait	但是在同学的鼓励和老师的解释下,我成功地制作了一个电子电路。
fierté	(名词) - 自豪,骄傲
le son des cloches	钟声
les passants	路人
songé	想象(动词“songer”的过去分词形式)
précis	精确的,清晰的
électronique	电子的(形容词,意为“电子的”)
discutant	交谈着(动词“discuter”的现在分词形式)
un agenda	日程表;记事表n.m.
à peu près	大约
tu es en pyjama	你穿睡衣了吗?
tu es prête à aller au lit	你准备好去睡觉了吗?
hier tu n'es pas allée à l'école mais tu es allée à la bibliothèque pour lire des bandes dessinées	昨天你没去上学,而是去了图书馆看漫画。
un manga-une bande dessinée japonaise	一部日本漫画
férié	节假日的
Il était en colère	他生气了吗?
couler	流动
tousser	咳嗽
Lundi, j'ai été malade, le nez qui coule, je toussais beaucoup	周一,我生病了,流鼻涕,还咳得很厉害。
sérieuse	认真的(阴性)
quand même	“仍然,还是,尽管如此”,在句子中作状语,修饰动词 “suis allée”,表示 “我还是去了”。
mi semestre	期中考试
céréale	谷物,词性是阴性
après-midi - solitude	下午 - 孤独
apprendre par cœur	背诵
Visites en bateau	乘船游览
Comte	伯爵
la prison du Comte de Monte-Cristo	基督山伯爵的监狱
Les calanques	小海湾;峡湾
Le Vieux-Port	老港
Le vieux quartier du Panier	潘尼耶老城区
Le palais du Pharo	法罗宫
Entrée gratuite	免费入场
Musée Cantinu	卡蒂努博物馆
Musée d'art contemporain	当代艺术博物馆
