la meilleure façon	“最好的方法”
de couper	“切”
un baguette	“一根法棍”
Les Français disent que le vin rouge c'est bon par la santé	“法国人说红葡萄酒对健康有益” - 这句话的表达有误,正确的说法应该是“对健康有好处”(pour la santé),而不是“par la santé”。
manger du poisson entier	“吃整条鱼”
apportera une bonne année	“会带来好运”
En Chine, certains croient que manger des œufs de cent ans prolonge la vie	“在中国,有些人相信吃皮蛋可以延年益寿。”
En Chine on partage les plats	“在中国,人们共享菜肴。”
les repas copieux et longs	“丰盛而漫长的餐食”
la fondue chinoise	“火锅”
ont l'habitude	“习惯”
certains pensent	“有些人认为”
manger des graines de lotus	“吃莲子”
le Nouvel An	“春节”
sont souvent mangés	“经常被食用”
Les escargots sont souvent mangés en Chine	“蜗牛在中国经常被食用” - FAUX
La baguette magique	“魔法棒”
le plus grand consommateur	“最大的消费国”
en volume	“按体积”-Vrai
en vin rouge consommé par habitant	“人均红葡萄酒消费量”-Faux
une porcherie	“猪圈(猪居住的地方)”
dix fois plus de	“十倍的......”
que de	“比......”
Il y a dix fois plus de porcs en Chine que de Chinois	“中国的猪的数量是中国人数量的十倍” - FAUX
est souvent servie	“通常被上桌”
à la fin des repas chinois	“在中国餐的最后”
pour aider à la digestion	“以帮助消化”
au début	“在开始时”
La consommation	“消费,食用”
feminine form of courant	“courant的阴性形式”
courante	“常见的”(形容词, feminine form of courant)
grossir	“变胖”-动词
des grenouilles	“青蛙”
contiennent	“含有”(contenir 的第三人称复数现在时)
Tous les plats chinois contiennent du poisson	“所有中国菜都含有鱼” - FAUX
Tous les Chinois mangent tous les jours du tofu	“所有中国人都每天吃豆腐” - FAUX
