réalisateur	导演(阳性名词)
La 2e partie du dernier film de mon réalisateur chinois préféré va sortir à Paris	我最喜欢的中国导演的最新电影的第二部分将在巴黎上映。
JEUNESSE	青春
Au début, les films duraient 50 secondes	起初,电影的时长为50秒。
Les Champs Elysées	香榭丽舍大道
encore	还(副词); 副词,此处表示 “还,仍然” =英语的yet
la nourriture	食物(阴性名词)
un gâteau	一块蛋糕; 蛋糕
les vieux films	老电影
Muet	无声的
découvrir	发现
Il sera à Paris le 13 mai, j'ai acheté ce matin des billets pour aller le voir	他将于5月13日到巴黎,今天早上我买了去看他的票。
rappeler	提醒
dire encore une fois	再说一次
j'ai mangé des nachos, des tacos, des burritos	我吃了玉米片,玉米卷饼,墨西哥卷饼
du guacamole	牛油果酱
un avocat	律师 / 牛油果
la santé	健康
de temps en temps	偶尔, 时不时地
pensait	想起(复合过去时)(penser的过去未完成时第三人称单数)
ce truc	这个工具
a mis	放置(复合过去时, mettre的第三人称单数)
en colère	生气,“colère” 是阴性名词,意为 “愤怒、生气”,在句子中作表语。
des travaux	工程;施工
Se reposer	休息一下。
se terminent	结束(复合过去时, terminer的第三人称复数)
couper les cheveux à quelqu'un	给别人剪头发
se couper les cheveux	给自己剪头发
Ta mère t'a aidé	妈妈帮你了吗
Est-ce que ta mère t'aide à t'habiller	妈妈帮你穿衣服吗
Quand tu étais petite	当你还是小孩的时候
m'aidait	帮助我(过去时,第三人称单数)
Des fois, tu vas chez le coiffeur	有时候你会去理发店吗
Je ne vais jamais chez le coiffeur	我从不去理发店
ne... plus	不再
se couper	自己剪
