un pont	桥
une écluse	水闸
du muguet	铃兰花
un sinophone c'est quelqu'un qui parle chinois	“一个说中文的人指的是会说中文的人。”
Accueil	接待(名词,阳性)
commun	“共同的”
Echange	交流(名词,阳性)
peur	害怕(名词,意为“恐惧”或“害怕”); 害怕、恐惧(名词)
un documentaire	纪录片
mentir	“撒谎”
Why - Elle ment parce qu'elle veut gagner plus d'argent	“原因:她撒谎是因为她想赚更多的钱。”
l'acteur principal	“主角”
une compagne	老婆
Le film était en cantonnais ou en mandarin	电影是用粤语或者普通话(拍摄的)?
doublé	动词“doubler”的过去分词,意为“配音”或“译制”。
En VO version original -en anglais	原声版本(英语)
En VF version française	法语配音版本
recevoir	“收到”
reçu	“收到(动词“recevoir”的过去分词)”
oursin	海胆
tomber	陷入(某种状态)
je te crois	我相信你。
l'athlétisme	田径运动
anguille	鳗鱼
calmar	鱿鱼
