pouvoir me contacter	联系,联络v.t.
dynamique	有活力的adj.
entretien	面试,会面n.m.
indispensable	必不可少的adj.(英语=indispensable)
parfois	有时,偶尔adv.
le point faible	弱点,缺点
privée	私人的,私有的adj.阴性
promenade	散步,散步的地方n.f.
qualité	质量,品质n.f.
réceptionniste	接待员n.m./f.(英语:receptionist)
raconter qch à qn	给某人讲述某事(tell someone something)
execuser	原谅,宽恕(forgive)v.t.
médecin	医生(doctor)n.m.
le portable	笔记本电脑;手机(laptop; mobile phone)n.m.便携式的,手提式的(portable)adj.
un panier	“篮子”n.m.
haute qualité	“高质量”(英语:high quality)
l'évier	“水槽”(英语:sink)
cohabites	“同居”(英语:cohabits)
des trucs	“东西”(英语:things)
faire ses lacets	“系鞋带”
un machin	“一个玩意儿”
un bidule	“一个小玩意儿”
les mains	“手”(英语:hands)
tranquille	“安静的”(英语:quiet)
empêches	“阻止”(英语:prevent)
ses griffes	“它的爪子”(英语:its claws)
tant pis	“算了”(英语:never mind)
porcelaine	陶瓷(n.f.)(porcelain)
se rappeler	“记住”
J'ai téléchargé les deux films de Bin Gan mais je ne les ai pas encore regardés	“我下载了毕赣的两部电影,但我还没看。”
présent	“现在时”; “现在时”
Titre original chinois	中文原名; “中文原名:地球最后的夜晚”
légumes	蔬菜n.m.pl.
