réalisateur	导演(阳性名词)
La 2e partie du dernier film de mon réalisateur chinois préféré va sortir à Paris	我最喜欢的中国导演的最新电影的第二部分将在巴黎上映。
JEUNESSE	青春
Au début, les films duraient 50 secondes	起初,电影的时长为50秒。
Les Champs Elysées	香榭丽舍大道
encore	还(副词); 副词,此处表示 “还,仍然” =英语的yet
la nourriture	食物(阴性名词)
un gâteau	一块蛋糕; 蛋糕
les vieux films	老电影
Muet	无声的
découvrir	发现
Il sera à Paris le 13 mai, j'ai acheté ce matin des billets pour aller le voir	他将于5月13日到巴黎,今天早上我买了去看他的票。
une victoire	胜利
gagner un match	赢得一场比赛
perdre un match	输掉一场比赛
attirer	吸引
du bruit	噪音
sa bouche	他的嘴
croient	相信(动词“croire”的第三人称复数现在时,表示“相信”)
apporte	动词 “apporter” 的第一人称单数直陈式现在时变位,意为 “带来;带去”,在句中作谓语,表示 “我” 正在进行的动作。
est associée	“与......相关联”; 与......有关(associer的过去分词)
En Chine, il est de coutume de boire du thé pu-erh après un repas copieux	在中国,习惯在丰盛的餐后喝普洱茶。 VRAI
aquarium	水族馆(n.m.)
