accrocher	(v.t.) 钩住;悬挂;获得;吸引=英语 to hook
accumuler	(v.t.) 堆积,积累,积聚=英语 to accumulate
accuser	(v.t.) 控诉,指责,非难;控告,起诉=英语 to accuse
achever	(v.t.) 结束,完成=英语 to finish
acquérir	(v.t.) 获得,取得=英语 to acquire
adjoindre	(v.t.)添加,增添=英语 to add
administration	(n.f.)管理,治理,行政;政府的部门
admirer	(v.t.)欣赏,赞赏
en colère	生气,“colère” 是阴性名词,意为 “愤怒、生气”,在句子中作表语。; “生气的”(英语:angry); “处于生气的状态”,“colère” 是阴性名词 “愤怒”,“en + 名词” 表 “处于...... 状态”=英语 be in + 名词
parmi	“在...... 之中”“在...... 中间”
Appartenir à un groupe	“属于一个群体”
aborder	(v.t.) 上前同... 交谈=英语 to approach
abri	(n.m.) 隐藏处,躲避处;保护,掩护,庇护=英语 shelter
abstrait	(adj.) 抽象的=英语 abstract
académie	(n.f.) 科学院;学会,学术协会=英语 academy
accélérer	(v.t.) 加速,加快,促进=英语 to accelerate
un tirage	彩票开奖=a draw
une seule personne	只有一人=only one person
partager	分享、平分(原形动词)=to share
autant d'argent	固定短语(“autant de” 表 “如此多的、同样多的”,指代前文提到的 “2.5 亿欧元”;“argent” 此处特指 “中奖奖金“)=so much money
ferais	实义动词 “faire”(做、干)的未完成过去时虚拟式(主语为 “tu” 时的变位)=would do
créer	创立、创建、建立(原形动词)=to create
lutter contre	与...... 作斗争、对抗(原形动词短语)=to fight against
la civilisation	文明、文化(阴性名词)=civilization
