après-midi - solitude	下午 - 孤独
apprendre par cœur	背诵
Visites en bateau	乘船游览
Comte	伯爵
la prison du Comte de Monte-Cristo	基督山伯爵的监狱
Les calanques	小海湾;峡湾
Le Vieux-Port	老港
Le vieux quartier du Panier	潘尼耶老城区
Le palais du Pharo	法罗宫
Entrée gratuite	免费入场
Musée Cantinu	卡蒂努博物馆
Musée d'art contemporain	当代艺术博物馆
protéger	保护
ceux	那些人(指代前面提到的人)
Leçon de grammaire	法语语法课
appartenir à	属于
indiquer	表示;指出
ajouter	添加
perdre	输
gagner	赢
Au lycée, en France, il n'y a pas de cours de Politique et éducation civique mais il y a des cours de philosophie	在法国的高中,没有政治和公民教育课,但有哲学课。
chez le médecin	在医生那里
plusieurs jours	几天
corrida	斗牛
Tardes de Soledad	《孤独的午后》
à l'occidentale	西方的 用西式的方法
bleu	生的
saignant	半生不熟;带血
à point	适中熟度
bien cuit	熟透了
c'était quoi exactement tes devoirs de français	你具体的法语作业是什么呀?
Camille, il faut apprendre par cœur ta présentation	卡米尔,你必须背诵你的自我介绍。
dizaine	十几个
élèves	学生
Je lui ai dit	我告诉她。
On apprenait	我们学(过去时,第一人称复数)
Et toi quand tu écoutes de la musique, tu danses des fois	你听音乐的时候,有时候跳舞吗?
chanteur d'opéra	歌剧演员
A 3 heures de Paris par le TGV Méditerranée	乘地中海高速列车从巴黎到达马赛需要3小时
Autour de Marseille	马赛周边
réalisateur	导演(阳性名词)
La 2e partie du dernier film de mon réalisateur chinois préféré va sortir à Paris	我最喜欢的中国导演的最新电影的第二部分将在巴黎上映。
JEUNESSE	青春
Au début, les films duraient 50 secondes	起初,电影的时长为50秒。
Les Champs Elysées	香榭丽舍大道
encore	还(副词); 副词,此处表示 “还,仍然” =英语的yet
la nourriture	食物(阴性名词)
un gâteau	一块蛋糕; 蛋糕
les vieux films	老电影
Muet	无声的
découvrir	发现
Il sera à Paris le 13 mai, j'ai acheté ce matin des billets pour aller le voir	他将于5月13日到巴黎,今天早上我买了去看他的票。
rappeler	提醒
dire encore une fois	再说一次
j'ai mangé des nachos, des tacos, des burritos	我吃了玉米片,玉米卷饼,墨西哥卷饼
du guacamole	牛油果酱
un avocat	律师 / 牛油果
la santé	健康
de temps en temps	偶尔, 时不时地
pensait	想起(复合过去时)(penser的过去未完成时第三人称单数)
ce truc	这个工具
a mis	放置(复合过去时, mettre的第三人称单数)
en colère	生气,“colère” 是阴性名词,意为 “愤怒、生气”,在句子中作表语。
des travaux	工程;施工
Se reposer	休息一下。
se terminent	结束(复合过去时, terminer的第三人称复数)
un contrôle	测验、考试
j'ai eu	我得了(“eu” 是 “avoir” 的过去分词,“avoir + 过去分词” 是法语复合过去时的构成形式。)=英语的“have got”
Ils sont déçus	他们很失望。
camarade de classe	同学
quittés	分手(quitter的过去分词)
je n'ai jamais eu de petit ami	我从来没有男朋友。(eu:动词 “avoir” 的过去分词形式,“avoir + 过去分词” 是法语复合过去时的构成形式。)
la cinémathèque	电影资料馆
un vieux film	一部老电影
J'ai téléchargé	我下载了(过去分词)
En Europe on l'appelle RedNote	在欧洲,我们称之为RedNote。
utiliser	使用
qu'est-ce qu'elle dit sur l'application	她对这个应用程序有什么看法?
La viande	肉
des escargots	蜗牛
la malchance	倒霉
la consommation de	消费;食用
gâteaux de la lune	月饼
ceux que	哪些
5 noix	五仁味
du thé pu-erh	普洱茶
un repas copieux	丰盛的餐
quand on gagne	赢得一场比赛
la meilleure	最好的
