comme ça sans rien	:就这样,什么都不加。
santé	是名词,表示“健康”,是阴性名词,通常用作不可数名词。
spéciaux	:形容词,意为“特别的”“特殊的”,是“spécial”的复数形式,用于修饰名词,表示某事物与众不同或有特定用途。
les raviolis chinois	饺子
Tous les plats chinois contiennent du poisson	所有中式菜肴都含有鱼。 FAUX
En Chine, il est considéré comme impoli de finir tous les plats à la fin d'un repas, car cela peut signifier que l'hôte n'a pas préparé assez de nourriture	“在中国,吃完所有菜肴被认为是一种不礼貌的行为,因为这可能意味着主人没有准备足够的食物”
il est courant	“这是常见的”
En Chine, certains croient que manger des œufs de cent ans prolonge la vie	“在中国,有些人相信吃皮蛋可以延年益寿。”
En Chine on partage les plats	“在中国,人们共享菜肴。”
Les Français préfèrent le café au thé	“法国人更喜欢咖啡而不是茶。”
En Chine, certains pensent que manger des graines de lotus c'est bon pour la santé	“在中国,有些人认为吃莲子对健康有益。”
amer	是形容词,表示“苦的”
Les Français mangent du foie gras à tous les repas	“法国人在每顿饭都吃鹅肝” - FAUX
ont inventé	“发明了”
il est considéré comme impoli	“被认为不礼貌”
car cela peut signifier	“因为这可能意味着”
levée	:升起的,升起(动词“lever”的过去分词形式,这里是女性单数形式,表示“起床”或“被升起”)。
je suis en forme ce soir	:我今晚状态很好。
une fondue au fromage	:奶酪火锅
une fondue à la viande	:肉类火锅
le baccalauréat	:高考(简称le bac)
dernière	:形容词,表示“最后的”“最近的”“上一次的”,是“dernier”的阴性形式,用于修饰阴性名词。
c'est mieux que la dernière fois	:这次比上次好
jeu	:游戏
menteurs	:说谎者(复数形式)
gratuit	免费的(adj.)
Les français mangent du foie gras à tous les repas	法国人并不是每顿饭都吃鹅肝。 FAUX
meilleure façon	:最好的方式、最好的方法。
couper avec un couteau	:用刀切
La bande-annonce	“预告片”
qui sort	“上映的”
du poisson	一些鱼(部分冠词 “du” 是由定冠词 “le” 和介词 “de” 缩合而成,表示不可数名词的部分,不是在强调具体有几条鱼,而是泛指吃了一些鱼肉或者一些鱼的部分); “鱼”
la tête	是“头”(阴性名词); “头顶”
certains croient	“有些人相信”; “有些人相信”; “有些人相信”
pour la santé	“对健康”; “对健康”
encore	还(副词); 副词,此处表示 “还,仍然” =英语的yet; “还”
du foie gras	“鹅肝”
à tous les repas	“在每顿饭”
attends	“等一下?”
Pourquoi si tard	“为什么这么晚?”
mauvaise nouvelle	“坏消息”
Ils n'ont rien dit parce qu'ils ont l'habitude	“他们什么也没说,因为他们习惯了”
Bientôt	“很快”
il y aura une petite fête	“会有一个小派对”
on doit préparer	“我们要准备”
un spectacle	“一个表演”
un spectacle en français	“一个法语表演”
J'étais content	“我很高兴”
une des	“其中之一” - 代词
meilleures	“最好的” - 形容词
le canard laqué	“烤鸭” - 名词
spécialité	“特色菜” - 名词
le nom	“名字” - 名词
un dessert	甜点
le poisson	“鱼” - 名词
servir	“上桌,服务” - 动词
servi	“被上桌” - 动词过去分词
entier	“整条的” - 形容词
symboliser	“象征” - 动词
la prospérité	“繁荣” - 名词
En Chine, le poisson est souvent servi entier pour symboliser la prospérité	“在中国,鱼通常被整条上桌,象征着繁荣。” - VRAI
une boisson	“饮料” - 名词
Le champignon c'est le nom d'une boisson française	“蘑菇是法国一种饮料的名字。” - FAUX
Joyeux Noël	“圣诞快乐”，是在圣诞节期间人们互相祝福的常用语。;“圣诞快乐”
Tu veux du miel	你想要蜂蜜吗？
prochain	下一个，接下来的
passer	度过，参加
été	夏天，夏
faire de la plongée	去潜水
février	二月
temps	时间
Je veux faire de la plongée	我想要去潜水。
lentement	慢,慢慢地
comprenons	懂,理解,明白
sac à dos	背包
tourner	转弯(原形)
Tourne	请转弯!(命令式,如果动词是er结尾,去掉er加e)
Va tout droit	你直走(命令式)
Prends le bus	你坐公共汽车(命令式)
Va à la poste	你去邮局(命令式)
Vas-y	你去吧(命令式)(加s接元音)
Donnes-en	给我(命令式)(en代表着一些东西)(加s接元音)
Parles-en	说给我(命令式)(en代表着一些东西)(加s接元音)
Aie	请你有!(命令式,不规则)
Sois	请你是!(命令式,不规则)
Aie de la patience	请你有耐心(命令式)
Ayez du courage	请您有勇气(命令式)
Sois patient	请你是有耐心(命令式)
Soyez courageux	请您是有勇气(命令式)
Meilleures salutations	致以最诚挚的问候
Responsable de l'agence Loca-loisirs	“Loca-loisirs	中介负责人”
Prenez-vous le bus	你们坐公共汽车吗?
l'impératif	命令式
Fais comme moi	跟我一样做(命令式)
Suivez-moi	跟我来(命令式)
Parle	请你说!(命令式,如果动词是er结尾,去掉er加e)
