grâce à lui	“多亏了他”
un essai	“论文、散文”
retracer	“追溯、回顾”
la mentalité	心态;思维方式(英语=mentality)
réserver	预定,预约v.t.(英语:reserve)
souriante	面带微笑的adj.阴性(英语:smiling)
Vous voulez travailler avec des clients français et étrangers	您想与法国和外国客户一起工作
56, promenade des Anglais	英国人大道56号
pouvoir me contacter	联系,联络v.t.
dynamique	有活力的adj.
entretien	面试,会面n.m.
indispensable	必不可少的adj.(英语=indispensable)
parfois	有时,偶尔adv.
le point faible	弱点,缺点
privée	私人的,私有的adj.阴性
promenade	散步,散步的地方n.f.
qualité	质量,品质n.f.
réceptionniste	接待员n.m./f.(英语:receptionist)
Je peux fumer ici	我可以在这里吸烟吗?(Can I smoke here?); 我可以在这里吸烟吗?(Can I smoke here?)
savoir	知道,了解,会
Pour le 14 juillet, cette année, je suis allée à Paris, avec deux copines de la fac	今年的七月十四日,我和两个大学同学去了巴黎。(This year on July 14th, I went to Paris with two college friends.)
pouvoir	能够(can); 能够,会,可以(can)v.i.
je peux	我可以(I can)
ard de	(建筑术语)拱(arch) n.
exister	存在,生存v.i.
faculté	学院,系,能力n.f.(faculty)
magazine	杂志n.m.(magazine)
souvenir	回忆,纪念品n.m.(souvenir)
triomphe	凯旋,胜利n.m.(triumph)
un panier	“篮子”n.m.
haute qualité	“高质量”(英语:high quality)
l'évier	“水槽”(英语:sink)
cohabites	“同居”(英语:cohabits)
des trucs	“东西”(英语:things)
faire ses lacets	“系鞋带”
un machin	“一个玩意儿”
un bidule	“一个小玩意儿”
les mains	“手”(英语:hands)
tranquille	“安静的”(英语:quiet)
empêches	“阻止”(英语:prevent)
ses griffes	“它的爪子”(英语:its claws)
tant pis	“算了”(英语:never mind)
ressentir	“感受到”(to feel)
sentir	“闻到”(to smell)
j'ai découvert	我发现(I found out)
a fermé	关门了(has closed)
j'espère que	我希望 (I hope that)
était meilleure	比我好 (was better than me)
la mienne	我的 (mine)
mentir	“撒谎(to lie)”
un courriel	一封电子邮件(an email)
à très bientôt	“很快再见”(See you very soon)
j'ai assisté à	我参加了(I attended)
Mes parents sont venus	我的父母来(My parents came)
