pouvoir me contacter	联系,联络v.t.
dynamique	有活力的adj.
entretien	面试,会面n.m.
indispensable	必不可少的adj.(英语=indispensable)
parfois	有时,偶尔adv.
le point faible	弱点,缺点
privée	私人的,私有的adj.阴性
promenade	散步,散步的地方n.f.
qualité	质量,品质n.f.
réceptionniste	接待员n.m./f.(英语:receptionist)
raconter qch à qn	给某人讲述某事(tell someone something)
execuser	原谅,宽恕(forgive)v.t.
médecin	医生(doctor)n.m.
le portable	笔记本电脑;手机(laptop; mobile phone)n.m.便携式的,手提式的(portable)adj.
se suicider	自杀
Le chasseur	猎人n.m.
se cacher	躲藏(to hide)
république	共和国(republic)n.f.
parvenir	到达(to reach)
être intervenu	干涉(to have intervened)-阳性
survenir	突然到达(to occur)
Vous êtes né quand	你什么时候出生的?(When were you born?)
la chambre du commerce	“商会”(英语:chamber of commerce)
la tête	是“头”(阴性名词); “头顶”; “头”头脑(head)n.f.
un truc	一个东西(“truc”是非正式用法,表示“东西”或“事物”); “一个东西”
en colère	生气,“colère” 是阴性名词,意为 “愤怒、生气”,在句子中作表语。; “生气的”(英语:angry)
être au régime	在减肥(英语:to be on a diet)
as réussi	“通过”(英语:passed)
Il n'y aura pas de cours	没有课。
Gémeaux	双子座“Gemini”
curieux	“好奇的”(英语:curious)
rapides	反应迅速的(英语:quick)
deux côtés	“两面性”(英语:two sides)
signes chinois	中国星座“Chinese zodiac”
forte	“强壮的;大声的”  (英语:strong; loud)
réussir	成功=英语的to succeed
réfléchir	思考=英语的to think
vendre	卖
ravi	高兴的
trembler	震动、颤抖
