après-midi - solitude	下午 - 孤独
apprendre par cœur	背诵
Visites en bateau	乘船游览
Comte	伯爵
la prison du Comte de Monte-Cristo	基督山伯爵的监狱
Les calanques	小海湾;峡湾
Le Vieux-Port	老港
Le vieux quartier du Panier	潘尼耶老城区
Le palais du Pharo	法罗宫
Entrée gratuite	免费入场
Musée Cantinu	卡蒂努博物馆
Musée d'art contemporain	当代艺术博物馆
couper les cheveux à quelqu'un	给别人剪头发
se couper les cheveux	给自己剪头发
Ta mère t'a aidé	妈妈帮你了吗
Est-ce que ta mère t'aide à t'habiller	妈妈帮你穿衣服吗
Quand tu étais petite	当你还是小孩的时候
m'aidait	帮助我(过去时,第三人称单数)
Des fois, tu vas chez le coiffeur	有时候你会去理发店吗
Je ne vais jamais chez le coiffeur	我从不去理发店
ne... plus	不再
se couper	自己剪
une victoire	胜利
gagner un match	赢得一场比赛
perdre un match	输掉一场比赛
attirer	吸引
du bruit	噪音
sa bouche	他的嘴
croient	相信(动词“croire”的第三人称复数现在时,表示“相信”)
apporte	动词 “apporter” 的第一人称单数直陈式现在时变位,意为 “带来;带去”,在句中作谓语,表示 “我” 正在进行的动作。
est associée	“与......相关联”; 与......有关(associer的过去分词)
En Chine, il est de coutume de boire du thé pu-erh après un repas copieux	在中国,习惯在丰盛的餐后喝普洱茶。 VRAI
aquarium	水族馆(n.m.)
