original	独到的,新颖的 adj.=original
tenir	拿着v.t.=hold
aérienne	(adj.)航空的=英语 aerial
aéronautique	(adj.)航天的=英语 aeronautical
affaire	(n.f.)事务;事件;买卖;pl.(个人的)衣物;生意=英语 business
afficher	(v.t.)张贴,公布=英语 to post
affirmer	(v.t.)证实,显示,表明,肯定,断定=英语 to assert
afin de	(loc.prép.)为了,以便=英语 in order to
aggraver	(v.t.)加重;使严重;加剧=英语 to worsen
agneau	(n.m.)羊羔,小绵羊=英语 lamb
agriculture	(n.f.)农业=英语 agriculture
aigre	(adj.)酸的,发酸的=英语 sour
aigu	(adj.)尖声的;敏锐的;尖锐的;急性的=英语 acute
aiguille	(n.f.)针=英语 needle
aile	(n.f.)翅膀;翼=英语 wing
laisser	放开,使得v.t.=let
alliance	(n.f.) 同盟，联盟= alliance
allumer	(v.t.) 点燃，点亮，照亮；打开（暖气等）= to light, to turn on
alpinisme	(n.m.) 登山运动= mountaineering
alternance	(n.f.) 交替，更迭，轮换= alternation
ambassade	(n.f.) 大使馆= embassy
améliorer	(v.t.) 改良，改进= to improve
aménager	(v.t.) 整理，布置；治理= to arrange, to set up
amende	(n.f.) 罚款，罚金= fine
amener	(v.t.) 带来，导致= to bring
amère	(adj.) 苦的，苦涩的；痛苦的
amitié	(n.f.) 友情= friendship
ample	(adj.) 广大的，广阔的；丰富的，广泛的= ample
analyser	(v.t.) 分析= to analyze
âne	(n.m.) 驴= donkey
angoisse	(n.f.) 焦虑，苦恼，恐慌= anguish
aborder	(v.t.) 上前同... 交谈=英语 to approach
aboutir	(v.t.indir) 通向,通到;到达 /(v.i.) 获得成功=英语 to succeed
abri	(n.m.) 隐藏处,躲避处;保护,掩护,庇护=英语 shelter
abstrait	(adj.) 抽象的=英语 abstract
académie	(n.f.) 科学院;学会,学术协会=英语 academy
accabler	(v.t.) 使难以忍受=英语 to overwhelm
accélérer	(v.t.) 加速,加快,促进=英语 to accelerate
accomplir	(v.t.) 履行,完成,实现=英语 to accomplish
accro	(adj., n.) 入迷的(人)=英语 addict
accroître	(v.t.) 增加,增长;扩大=英语 to increase
accumuler	(v.t.) 堆积,积累,积聚=英语 to accumulate
accuser	(v.t.) 控诉,指责,非难;控告,起诉=英语 to accuse
acquérir	(v.t.) 获得,取得=英语 to acquire
adjoindre	(v.t.)添加,增添=英语 to add
administration	(n.f.)管理,治理,行政;政府的部门
adolescente	(n.)青少年(adj.)青春期的,青少年期的
adonner	(v.pr.)专心于,醉心于,沉湎于
