une des	“其中之一” - 代词
meilleures	“最好的” - 形容词
le canard laqué	“烤鸭” - 名词
spécialité	“特色菜” - 名词
le nom	“名字” - 名词
un dessert	甜点
le poisson	“鱼” - 名词
servir	“上桌,服务” - 动词
servi	“被上桌” - 动词过去分词
entier	“整条的” - 形容词
symboliser	“象征” - 动词
la prospérité	“繁荣” - 名词
En Chine, le poisson est souvent servi entier pour symboliser la prospérité	“在中国,鱼通常被整条上桌,象征着繁荣。” - VRAI
une boisson	“饮料” - 名词
Le champignon c'est le nom d'une boisson française	“蘑菇是法国一种饮料的名字。” - FAUX
traverser	穿过v.穿越
un vélo libre	公共自行车
la place	广场n.f.
rollers	滑轮鞋n.m.pl.
traverser	穿过v.穿越
Un vélib	公共自行车
l'entrée du métro de Paris	巴黎地铁入口
direct	直接的adj.
d'abord	首先adv.
jardin	花园nm.
jusque	直到prep.（与介词连用，表示时间或空间的限度）
C'est par là	从那里走; 从那边走
loin	远adv.
le métropolitain	地铁nm.
opéra	歌剧院nm.
Je vous demande pardon	我向您道歉n.m.
découvert	发现(动词“découvrir”的过去分词形式,表示“发现”)
Son nouvel album s'appelle After Parti	他的新专辑叫《After Parti》。
raconte	动词 raconter 的直陈式现在时第三人称单数“讲述,叙述”
vraiment	真的(副词);确实; 真的(副词,表示“真正地”或“确实”)
Bon en fact je l'aime mais personne ne doit savoir, même pas Corentin	其实我喜欢她,但谁也不能知道,甚至连我的好朋友科伦丁也不能知道
un pote	一个哥们
précise	我强调一下(动词“préciser”的第一人称单数形式,表示“强调”或“说明”)
assise	坐下(动词“asseoir”的过去分词形式,表示“坐下”)
un truc	一个东西(“truc”是非正式用法,表示“东西”或“事物”)
un peu fort	大声的、大的(形容词,表示声音大)
prononçait	发音(动词“prononcer”的过去时,表示“发音”)
T'écoutes fort dis donc	你听得好大声啊,真夸张。
te déranger	打扰你打扰=to bother
les gens	人们(“gens”是名词,表示“人”,“les”是定冠词)
moi ça ne me dérange pas	我倒是不介意
haïr	恨(动词原形,表示“恨”或“憎恨”)
Toute seule	独自一人。
brioches	面包(复数形式,表示“面包”或“小圆面包”)
Demain qu'est-ce que tu fais	明天你打算做什么?
Je ne sais pas encore	我还不知道
un dessin animé	“动画片” ,字面意思是 “活动的画” 。
un journal intime	一本私密的日记
Il raconte comment il est tombé amoureux de Julie	他讲述了他是如何爱上朱莉的
une camarade	“同学;同伴;同志”
Mais je n'ai pas trop envie d'en parler	但我不是很想谈它。
Bon en fait	其实。
chiante	令人厌烦的,chiant 的阴性形式
Il aime trop se mêler de tout	他总是爱管闲事。(se mêler de “干涉,管闲事” ,tout一切)
Je le hais	我恨他。
y a pas longtemps	时间状语从句,意思是“不久之前”
a rigolé	笑了(“rigoler”是“笑”的过去分词形式,表示动作已完成)
blagues	笑话(名词,复数形式)
rigoler	法语动词,意思是“笑”或“大笑”,通常指比较轻松、愉快的笑。
rire	法语动词,意思是“笑”,是一个更通用的词,可以指任何形式的笑。
même pas	甚至不、连......也不(表示强调)
Tu viens avec moi	你和我一起来。
Où est-ce que le restaurant se trouve	餐厅在哪里?
Où le restaurant se trouve-t-il	餐厅在哪里?
peintre	“画家;画师;油漆工”n.m.; 画家n.m.
annonce	启事,告示,布告,公告n.f.
une avenue	大街,大道n.f.
au bout du couloir	在走廊的尽头
bruyante	吵闹的adj.
clair	明亮的adj.
