savoir	知道，会
Tu peux marcher	你能走路吗？
Tu dois aller à droite	你应该去右边
parisiennes	意为“巴黎的”，是阴性复数形式
Je dois marcher	我应该走路。
la voisine	女邻居
Ce sont les étudiants de la première année	这些是一年级的学生
les Pays-Bas	荷兰(英语中常用“Netherlands”或“Holland”来表示荷兰);“荷兰”
venons	来
marcher	走路，走
dois	应该
immeuble	大楼，建筑物;大楼
tourner	转弯；转动；翻转
devant	在……前面prep
troisième	第三的
lieu	地方
trouver	找到;找到，发现v.t.
loin	远
pont	桥
route	路
près de	靠近，接近
cher	(adj.)(m)亲爱的;贵的
chère	(adj.)(m)亲爱的（阴性）;亲爱的；贵的（阴性形式）
achètes	买
veste	夹克，上衣
coûtent	要（第三人称复数形式）
prix	价格，奖
combien	多少；多少钱
coûte	要（第三人称单数形式）
euro	欧元
chaussure	鞋
Je veux une jupe blanche	我想要一条白色的裙子
le prix des jupes	裙子（复数）的价格（“des”在这里是“de”（表示所属关系“的”）和复数定冠词“les”的缩合形式。）
Il y a sept magasins	有七家商店
peux	能，可以
écoute	听
écoutons	“我们听”。例如：Nousécoutonslamusique.（我们听音乐。）
dors	睡，睡觉，睡得
lis	阅读，读
joue	演出，演得，踢得
jouent	演出，拉得，演奏。例如：Ilsjouentdupiano.（他们弹钢琴。）
enfant	小孩子，小孩，孩子
chaque	每个，每，每场
regarde	看
jour	天，日子
légume	蔬菜
prêt	准备好了
prête	准备好了，借
prennent	拿，吃，喝，动词 prendre 的第三人称复数形式。
œuf	鸡蛋，蛋
venir	来，去（朝着说话者的方向或某个特定的地方移动）vs “aller”离开说话者所在的地方前往别的地方
