Portraits	肖像
trouvez l'objet	找到物品
Il y a	有,存在ph.
des fleurs	一些花
Il y a trois arbres	有三棵树
une fenêtre	一扇窗户
Elle ouvrent les fenêtres	她们打开窗户
Mon chien est blanc	我的狗是白色的
Alice est très gentille	爱丽丝非常和善
une voiture blanche	一辆白色的汽车
Il y a un salon dans ma maison	我的房子里有一个客厅
une vache	一头奶牛
Alice est ma voisine	爱丽丝是我的邻居
la table et les chaises	桌子和椅子
une pièce	一个房间
Sénégal	塞内加尔n.m.(位于西非，以其丰富的文化、音乐和多样的自然景观而闻名。)
Sénégalaise	塞内加尔人
serveuse	服务员n.f.
souvent	经常，常常adv.
Je suis guyanaise	我是圭亚那人
quarante	四十
J'aime beaucoup la danse	我真的很喜欢跳舞
Je suis boulanger	我是一名面包师
Quel professeur tu préfères	你更喜欢哪个老师？
Une Renault	雷诺车
bientôt	不久，马上adv.
à bientôt	一会儿见，回头见loc.adv.
boulangerie	面包房;面包店
Cayenne	卡宴（圭亚那的首府卡宴）
Je cherche du travail	我正在找工作
correspondante	通信者，有信件往来者（去e变成阳性）
Dakar	达喀尔（塞内加尔的首都）
guyanais	圭亚那的;圭亚那人
Lausanne	洛桑[瑞士]
littérature	文学n.f.
monde	世界n.m.
québécoise	加拿大魁北克的adj.(去e变阳性）
