traverser	穿过v.穿越
un vélo libre	公共自行车
Elle ouvre le placard et y met la robe	她打开橱柜,把裙子放进去。(y=dans le placard,上文提到的地方,作副代词)
Vous habitez en banlieu	你住在郊区吗?
Après vous	您先请
on se parlera après	以后再说(on=我们,se parlera=交谈)
droit	笔直地adv.
d'abord	首先adv.
enfin	最后adv.
jusque	直到prep.(与介词连用,表示时间或空间的限度)
le métropolitain	地铁nm.
Meilleures salutations	致以最诚挚的问候
Responsable de l'agence Loca-loisirs	“Loca-loisirs	中介负责人”
Prenez-vous le bus	你们坐公共汽车吗?
l'impératif	命令式
Fais comme moi	跟我一样做(命令式)
Suivez-moi	跟我来(命令式)
Parle	请你说!(命令式,如果动词是er结尾,去掉er加e)
