Joyeux Noël	“圣诞快乐”，是在圣诞节期间人们互相祝福的常用语。;“圣诞快乐”
Tu veux du miel	你想要蜂蜜吗？
prochain	下一个，接下来的
passer	度过，参加
été	夏天，夏
faire de la plongée	去潜水
février	二月
temps	时间
Je veux faire de la plongée	我想要去潜水。
lentement	慢,慢慢地
comprenons	懂,理解,明白
sac à dos	背包
tourner	转弯(原形)
Tourne	请转弯!(命令式,如果动词是er结尾,去掉er加e)
Va tout droit	你直走(命令式)
Prends le bus	你坐公共汽车(命令式)
Va à la poste	你去邮局(命令式)
Vas-y	你去吧(命令式)(加s接元音)
Donnes-en	给我(命令式)(en代表着一些东西)(加s接元音)
Parles-en	说给我(命令式)(en代表着一些东西)(加s接元音)
Aie	请你有!(命令式,不规则)
Sois	请你是!(命令式,不规则)
Aie de la patience	请你有耐心(命令式)
Ayez du courage	请您有勇气(命令式)
Sois patient	请你是有耐心(命令式)
Soyez courageux	请您是有勇气(命令式)
Meilleures salutations	致以最诚挚的问候
Responsable de l'agence Loca-loisirs	“Loca-loisirs	中介负责人”
Prenez-vous le bus	你们坐公共汽车吗?
l'impératif	命令式
Fais comme moi	跟我一样做(命令式)
Suivez-moi	跟我来(命令式)
Parle	请你说!(命令式,如果动词是er结尾,去掉er加e)
découvert	发现(动词“découvrir”的过去分词形式,表示“发现”)
Son nouvel album s'appelle After Parti	他的新专辑叫《After Parti》。
raconte	动词 raconter 的直陈式现在时第三人称单数“讲述,叙述”
vraiment	真的(副词);确实; 真的(副词,表示“真正地”或“确实”)
Bon en fact je l'aime mais personne ne doit savoir, même pas Corentin	其实我喜欢她,但谁也不能知道,甚至连我的好朋友科伦丁也不能知道
un pote	一个哥们
précise	我强调一下(动词“préciser”的第一人称单数形式,表示“强调”或“说明”)
assise	坐下(动词“asseoir”的过去分词形式,表示“坐下”)
un truc	一个东西(“truc”是非正式用法,表示“东西”或“事物”)
un peu fort	大声的、大的(形容词,表示声音大)
prononçait	发音(动词“prononcer”的过去时,表示“发音”)
T'écoutes fort dis donc	你听得好大声啊,真夸张。
te déranger	打扰你打扰=to bother
les gens	人们(“gens”是名词,表示“人”,“les”是定冠词)
moi ça ne me dérange pas	我倒是不介意
haïr	恨(动词原形,表示“恨”或“憎恨”)
Toute seule	独自一人。
brioches	面包(复数形式,表示“面包”或“小圆面包”)
Demain qu'est-ce que tu fais	明天你打算做什么?
Je ne sais pas encore	我还不知道
un dessin animé	“动画片” ,字面意思是 “活动的画” 。
un journal intime	一本私密的日记
Il raconte comment il est tombé amoureux de Julie	他讲述了他是如何爱上朱莉的
une camarade	“同学;同伴;同志”
Mais je n'ai pas trop envie d'en parler	但我不是很想谈它。
Bon en fait	其实。
chiante	令人厌烦的,chiant 的阴性形式
Il aime trop se mêler de tout	他总是爱管闲事。(se mêler de “干涉,管闲事” ,tout一切)
Je le hais	我恨他。
y a pas longtemps	时间状语从句,意思是“不久之前”
a rigolé	笑了(“rigoler”是“笑”的过去分词形式,表示动作已完成)
blagues	笑话(名词,复数形式)
rigoler	法语动词,意思是“笑”或“大笑”,通常指比较轻松、愉快的笑。
rire	法语动词,意思是“笑”,是一个更通用的词,可以指任何形式的笑。
même pas	甚至不、连......也不(表示强调)
voir	:动词原形,意思是 “看望;看见”,在句中作 “vais” 的补足语,表明 “去” 的目的。
Je m'en fiche	我不在乎(“en” 是副代词,代替前文提到的事物或情况,“me” 是自反代词)
sévère	严格; 严厉的(形容词)
siècle	世纪(阳性名词)
connaît	认识(动词 connaître(认识)的直陈式现在时第一人称单数变位形式)
depuis 6 mois	“6个月以来"
Que faites-vous ensemble	你们一起做什么?
peur	害怕(名词)
a été	“être” 的直陈式复合过去时第三人称单数形式,表示“是”或“在”
expliquer	解释(动词原形)
Parlez d'un professeur qui est, ou a été, important pour vous et expliquez pourquoi	谈谈一个对你来说很重要的老师,或者是一个你最喜欢的老师,并解释为什么。
Elle est très gentille	她非常和蔼。
s'occuper de	照顾(动词短语)(“se” 是自反代词,表示“自己”)
serre	“抱紧,搂住”(动词 serrer(抱)的第三人称单数形式)
ses bras	她的胳膊
Voulez-vous commander la paëlla	您想点海鲜饭吗?(voulez-vous:动词 vouloir(想要)的直陈式现在时第二人称复数变位形式)
Tous les jours, je fais un peu mes devoirs	每天,我都会做一点儿作业
pour le nouvel an chinois	为了庆祝中国新年
Tu as eu combien d'argent pour le nouvel an chinois	你过年收到了多少压岁钱?(“Tu as eu” 是 “avoir” 的复合过去时,表示 “你有了” )
pareil	一样(形容词)
Hier	昨天(副词)
un biopic	传记片(biography picture的缩写)
raconter	讲述
célèbre	著名的
toujours	仍然(副词)
vivant	活着的(形容词)
joue	扮演”(动词 jouer(演)的直陈式现在时第三人称单数变位形式)
l'écran	屏幕(阳性名词)(定冠词 le 在以元音音素开头的名词前,要缩合为 l' )
fatiguée	疲劳的(女性形式)
les repas en français	法语中的三餐
la nourriture	食物(阴性名词)
