frapper	敲(动词)
imiter	模仿(动词)
la voix	:“la” 是定冠词,修饰阴性名词 “voix”(声音),“la voix” 即 “声音”。
sauter	跳(动词)
sauter sur	意思是 “扑向......”
Ensuite	:副词,意为 “随后,接着”,用于表示时间顺序,引出接下来发生的事情。
coucher	躺下(动词)
a attendu	:“attendre”(等待)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“attendu” 是 “attendre” 的过去分词,表明狼 “等待” 小红帽这一动作在过去已经开始并持续。
Un peu après	:固定短语,意为 “过了一会儿”,在句中作时间状语,表明事件发生的时间顺序。
Comme	:连词,引导原因状语从句,意为 “因为,由于” ,说明主句中女孩产生错误认知的原因。
croire	相信(动词)
a cru	:“croire”(相信,认为)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“cru” 是 “croire” 的过去分词,这里表示小女孩 “认为” 这一动作在过去完成。
avait un rhume	:“avait” 是 “avoir” 的直陈式未完成过去时第三人称单数变位,“un rhume”(感冒),“avait un rhume” 表示 “患感冒” ,在宾语从句中作谓语,描述祖母当时的状态。
d'une voix douce	:“de” 在这里表示方式,“une voix douce” 意为 “温柔的声音”,“d'une voix douce” 整体表示 “用温柔的声音”,作方式状语,说明狼回应时使用的声音特点。
s'est caché	:“se cacher” 是代动词,意为 “躲藏” 。“s'” 是自反代词 “se” 的省音形式,与主语 “le loup” 配合;“est” 是助动词 être 的第三人称单数变位,“caché” 是 “se cacher” 的过去分词,构成代动词的复合过去时,表示狼 “躲藏” 这一动作在过去完成。
couverture	被子(阴性名词)
viens	:动词 “venir”(来)的第二人称单数命令式,意为 “过来”,要求对方来到说话者所在之处。
déshabiller	脱衣服(动词)
Pour aller	:“pour” 是介词,此处表示目的,意为 “为了”;“aller” 是动词原形,意为 “去”,“pour aller” 即 “为了去......” 。
devait	:动词 “devoir” 的第三人称单数未完成过去时形式。“devoir” 常见含义有 “应该;必须”,这里 “devait” 表示小红帽过去必须做某事,带有过去的一种必要性。
traverser	穿过v.穿越
rencontrer	遇见,碰到(动词)
le Loup	:“le” 是定冠词,用于修饰阳性名词;“loup” 是阳性名词,意为 “狼”,“le loup” 即 “狼” 。
Taiwanais	台湾人; 台湾的
sûrement	肯定地,一定地(adv)
nouvel an chinois	中国新年(“nouvel” 是 “nouveau”(新的)修饰以元音或哑音 h 开头的阳性单数名词时的形式)
Pour le nouvel an	过年的时候(pour是介词,此处表时间或对象)
de l'argent	金钱(阳性名词)
longtemps	副词,意思是 “长久地,长时间地”
vivait	:动词 “vivre”(生活,居住)的第三人称单数未完成过去时变位形式,表示过去持续进行的动作或过去的状态,这里指小女孩过去居住的状态。
a donné	动词 “donner”(给)的直陈式现在完成时第三人称单数变位形式,“a” 是助动词 “avoir” 的第三人称单数变位,“donné” 是 “donner” 的过去分词,二者构成现在完成时,表示过去发生并完成的动作
allait	:动词 “aller” 的第三人称单数未完成过去时变位。“aller à qn” 有 “适合某人” 的意思 ,这里 “allait” 表示 “适合” 。
si... que	:固定结构,引导结果状语从句,“si” 后接形容词或副词,“que” 引导结果,意为 “如此...... 以至于” 。
appelait	:动词 “appeler”(称呼,叫)的第三人称单数未完成过去时变位,意为 “称呼,叫” ,表示过去习惯性的动作。
printemps	:阳性名词,意为 “春天” 。
a dit	:“dire”(说,讲)的直陈式现在完成时第三人称单数变位形式,“a” 是助动词 “avoir” 的第三人称单数变位,“dit” 是 “dire” 的过去分词,合起来表示 “说了” 。
Apporte	:动词 “apporter”(带来,带去)的第二人称单数命令式形式,意为 “带去;拿来” ,表示命令或请求对方做某事。
ce petit pot	这一小罐(阳性名词,常见意思为 “罐子” )
peux	能(pouvoir的现在式第一人称单数形式)
Tu peux en acheter à Shanghai	你可以在上海买到。(en:代替前面提到的 “galette des rois” 中的部分内容,作宾语。)
Maman va acheter une galette	妈妈要买一个蛋糕。(“aller + 动词原形” 构成最近将来时,表示即将或打算做某事。)
vu	看见(voir的过去分词)
réalisatrice	导演(女性)
l'argent	钱,资金(名词)
fait peur	吓人(动词 “faire”(做)和名词 “peur”(恐惧)构成动词短语,表示 “吓人” )
hiver	冬天
d'hiver	冬季的(“de” 在这里表示所属关系)
Tu es contente	你高兴吗?
Qu'est-ce que tu vas faire pendant les vacances	你放假时要做什么?
Vous allez aller où	你们要去哪里?
encore	还(副词)
restent	停留,留下;保持(rester的第三人称复数形式)
terminée	结束了(过去分词)(与 “la leçon” 一起构成动词短语,表示 “课程结束了” )
appris	学习(apprendre的过去分词)
Cette année tu apprends le français	今年你在学法语。
J'ai habité	我曾经住过(过去完成时)
J'ai habité à Shanghaï pendant 11 mois en 2018	"2018年我在上海住了11个月。"
maternelle	“母亲的”“母性的”
paternelle	“父亲的”“父性的”
ingénieur	工程师(男性)
informaticienne	计算机专家(女性)
tous	所有
Tous les deux	他们两个
sévère	严格
Je vais avoir 62 ans	我62岁了。
étais	是(être的过去式第一人称单数形式)
Il en reste 15	还剩15个。
anniversaire	生日
janvier	一月
février	二月
mars	三月
mai	五月
juin	六月
juillet	七月
août	八月
septembre	九月
octobre	十月
novembre	十一月
décembre	十二月
lycée	高中
je suis en seconde	我在读高一。
naître	出生
