un contrôle	测验、考试
j'ai eu	我得了(“eu” 是 “avoir” 的过去分词,“avoir + 过去分词” 是法语复合过去时的构成形式。)=英语的“have got”
Ils sont déçus	他们很失望。
camarade de classe	同学
quittés	分手(quitter的过去分词)
je n'ai jamais eu de petit ami	我从来没有男朋友。(eu:动词 “avoir” 的过去分词形式,“avoir + 过去分词” 是法语复合过去时的构成形式。)
la cinémathèque	电影资料馆
un vieux film	一部老电影
couper les cheveux à quelqu'un	给别人剪头发
se couper les cheveux	给自己剪头发
Ta mère t'a aidé	妈妈帮你了吗
Est-ce que ta mère t'aide à t'habiller	妈妈帮你穿衣服吗
Quand tu étais petite	当你还是小孩的时候
m'aidait	帮助我(过去时,第三人称单数)
Des fois, tu vas chez le coiffeur	有时候你会去理发店吗
Je ne vais jamais chez le coiffeur	我从不去理发店
ne... plus	不再
se couper	自己剪
contemporaine	当代的(adj.)(f.)
gratuite	免费的(adj.)(f.)
hôtel de ville	市政厅;市政府大楼(n.m.)
institut	学院(n.m.)机构
quai	站台;堤岸(n.m.)
SNCF	法国国家铁路公司(全称:Société Nationale des Chemins de Fer Français)
Demain matin qu'est-ce que tu fais	明天早上你打算做什么?
par cœur	通过心
apprendre par cœur	背诵
négatif	消极的
Jeudi j'ai acheté un billet d'avion	周四我买了一张飞机票
documentaire	纪录片(名词,表示“纪录片”)
peintre	画家(名词,表示“画家”)
Ce matin avant le cours, je suis allé au cinéma voir un documentaire sur un peintre espagnol	今天早上上课之前,我去电影院看了一部关于一位西班牙画家的纪录片。
Qui est-ce que tu connais comme peintre occidental	你认识哪些西方画家?
rentrant	回家的(形容词, 动词rentrer的现在分词)
En rentrant à la maison j'ai acheté des gâteaux pour mes amis	回家的路上,我给朋友们买了一些蛋糕。
qui vend	那卖(“vendre”的第三人称单数现在时,表示“卖”)
été vendus	被卖出去(“vendre”的过去分词,表示“卖出去”)
C'est une boutique qui vend les gâteaux et les pains qui n'ont pas été vendus hier	这是一家卖昨天没卖出去的蛋糕和面包的商店。
je suis radin	我很小气
télécharger	下载
