J'ai téléchargé	我下载了(过去分词)
En Europe on l'appelle RedNote	在欧洲,我们称之为RedNote。
utiliser	使用
qu'est-ce qu'elle dit sur l'application	她对这个应用程序有什么看法?
La viande	肉
des escargots	蜗牛
la malchance	倒霉
la consommation de	消费;食用
gâteaux de la lune	月饼
ceux que	哪些
5 noix	五仁味
du thé pu-erh	普洱茶
un repas copieux	丰盛的餐
quand on gagne	赢得一场比赛
la meilleure	最好的
Demain matin qu'est-ce que tu fais	明天早上你打算做什么?
par cœur	通过心
apprendre par cœur	背诵
négatif	消极的
Jeudi j'ai acheté un billet d'avion	周四我买了一张飞机票
documentaire	纪录片(名词,表示“纪录片”)
peintre	画家(名词,表示“画家”)
Ce matin avant le cours, je suis allé au cinéma voir un documentaire sur un peintre espagnol	今天早上上课之前,我去电影院看了一部关于一位西班牙画家的纪录片。
Qui est-ce que tu connais comme peintre occidental	你认识哪些西方画家?
rentrant	回家的(形容词, 动词rentrer的现在分词)
En rentrant à la maison j'ai acheté des gâteaux pour mes amis	回家的路上,我给朋友们买了一些蛋糕。
qui vend	那卖(“vendre”的第三人称单数现在时,表示“卖”)
été vendus	被卖出去(“vendre”的过去分词,表示“卖出去”)
C'est une boutique qui vend les gâteaux et les pains qui n'ont pas été vendus hier	这是一家卖昨天没卖出去的蛋糕和面包的商店。
je suis radin	我很小气
télécharger	下载
la meilleure façon	“最好的方法”
de couper	“切”
un baguette	“一根法棍”
Les Français disent que le vin rouge c'est bon par la santé	“法国人说红葡萄酒对健康有益” - 这句话的表达有误,正确的说法应该是“对健康有好处”(pour la santé),而不是“par la santé”。
manger du poisson entier	“吃整条鱼”
apportera une bonne année	“会带来好运”
En Chine, certains croient que manger des œufs de cent ans prolonge la vie	“在中国,有些人相信吃皮蛋可以延年益寿。”
En Chine on partage les plats	“在中国,人们共享菜肴。”
les repas copieux et longs	“丰盛而漫长的餐食”
la fondue chinoise	“火锅”
ont l'habitude	“习惯”
certains pensent	“有些人认为”
manger des graines de lotus	“吃莲子”
le Nouvel An	“春节”
signifier que	:短语,意为“意味着......”,后面通常跟从句,表示具体的意思或结果。
l'hôte	“主人”
assez	形容词或副词,意为“足够的”或“足够地”。
nourriture	“食物”
ont une fête nationale	“有一个国庆节”
dédicée	“专门的;奉献于”(形容词),动词 dédié 的过去分词形式
défilent	“游行;列队行进”(动词défiler的第三人称复数现在时)
avec des fromages sur la tête	“头顶奶酪”
il est courant	“这是常见的”
de servir	“提供”
lors	“在......的时候”
lors des mariages	“在婚礼上”
comme ça sans rien	:就这样,什么都不加。
santé	是名词,表示“健康”,是阴性名词,通常用作不可数名词。
spéciaux	:形容词,意为“特别的”“特殊的”,是“spécial”的复数形式,用于修饰名词,表示某事物与众不同或有特定用途。
les raviolis chinois	饺子
Tous les plats chinois contiennent du poisson	所有中式菜肴都含有鱼。 FAUX
En Chine, il est considéré comme impoli de finir tous les plats à la fin d'un repas, car cela peut signifier que l'hôte n'a pas préparé assez de nourriture	“在中国,吃完所有菜肴被认为是一种不礼貌的行为,因为这可能意味着主人没有准备足够的食物”
il est courant	“这是常见的”
En Chine, certains croient que manger des œufs de cent ans prolonge la vie	“在中国,有些人相信吃皮蛋可以延年益寿。”
En Chine on partage les plats	“在中国,人们共享菜肴。”
Les Français préfèrent le café au thé	“法国人更喜欢咖啡而不是茶。”
En Chine, certains pensent que manger des graines de lotus c'est bon pour la santé	“在中国,有些人认为吃莲子对健康有益。”
amer	是形容词,表示“苦的”
Les Français mangent du foie gras à tous les repas	“法国人在每顿饭都吃鹅肝” - FAUX
ont inventé	“发明了”
il est considéré comme impoli	“被认为不礼貌”
car cela peut signifier	“因为这可能意味着”
levée	:升起的,升起(动词“lever”的过去分词形式,这里是女性单数形式,表示“起床”或“被升起”)。
je suis en forme ce soir	:我今晚状态很好。
une fondue au fromage	:奶酪火锅
une fondue à la viande	:肉类火锅
le baccalauréat	:高考(简称le bac)
dernière	:形容词,表示“最后的”“最近的”“上一次的”,是“dernier”的阴性形式,用于修饰阴性名词。
c'est mieux que la dernière fois	:这次比上次好
jeu	:游戏
menteurs	:说谎者(复数形式)
gratuit	免费的(adj.)
Les français mangent du foie gras à tous les repas	法国人并不是每顿饭都吃鹅肝。 FAUX
meilleure façon	:最好的方式、最好的方法。
couper avec un couteau	:用刀切
sont souvent mangés	“经常被食用”
Les escargots sont souvent mangés en Chine	“蜗牛在中国经常被食用” - FAUX
La baguette magique	“魔法棒”
le plus grand consommateur	“最大的消费国”
en volume	“按体积”-Vrai
en vin rouge consommé par habitant	“人均红葡萄酒消费量”-Faux
une porcherie	“猪圈(猪居住的地方)”
dix fois plus de	“十倍的......”
que de	“比......”
Il y a dix fois plus de porcs en Chine que de Chinois	“中国的猪的数量是中国人数量的十倍” - FAUX
est souvent servie	“通常被上桌”
à la fin des repas chinois	“在中国餐的最后”
pour aider à la digestion	“以帮助消化”
au début	“在开始时”
La consommation	“消费,食用”
feminine form of courant	“courant的阴性形式”
courante	“常见的”(形容词, feminine form of courant)
grossir	“变胖”-动词
des grenouilles	“青蛙”
contiennent	“含有”(contenir 的第三人称复数现在时)
Tous les plats chinois contiennent du poisson	“所有中国菜都含有鱼” - FAUX
Tous les Chinois mangent tous les jours du tofu	“所有中国人都每天吃豆腐” - FAUX
une des	“其中之一” - 代词
meilleures	“最好的” - 形容词
le canard laqué	“烤鸭” - 名词
spécialité	“特色菜” - 名词
le nom	“名字” - 名词
un dessert	甜点
le poisson	“鱼” - 名词
servir	“上桌,服务” - 动词
servi	“被上桌” - 动词过去分词
entier	“整条的” - 形容词
symboliser	“象征” - 动词
la prospérité	“繁荣” - 名词
En Chine, le poisson est souvent servi entier pour symboliser la prospérité	“在中国,鱼通常被整条上桌,象征着繁荣。” - VRAI
une boisson	“饮料” - 名词
Le champignon c'est le nom d'une boisson française	“蘑菇是法国一种饮料的名字。” - FAUX
traverser	穿过v.穿越
un vélo libre	公共自行车
