savoir	知道，会
Tu peux marcher	你能走路吗？
Tu dois aller à droite	你应该去右边
parisiennes	意为“巴黎的”，是阴性复数形式
Je dois marcher	我应该走路。
la voisine	女邻居
Ce sont les étudiants de la première année	这些是一年级的学生
les Pays-Bas	荷兰(英语中常用“Netherlands”或“Holland”来表示荷兰);“荷兰”
venons	来
marcher	走路，走
dois	应该
immeuble	大楼，建筑物;大楼
tourner	转弯；转动；翻转
devant	在……前面prep
troisième	第三的
lieu	地方
trouver	找到;找到，发现v.t.
loin	远
pont	桥
route	路
près de	靠近，接近
écrivent	写，书写; “écrire”（写）的第三人称复数形式。
un portable	手机
sur	在..上面prep=On
collègue	同事
usine	工厂
médecin	医生
chauffeur	司机
métier	职业
salon	客厅
porte	戴，带，穿;门n.f.
gentille	和善;形容阴性单数名词
vache	奶牛，牛
gentil	和善
J'aime l'appartement de mes voisins	我喜欢我邻居的公寓
vêtements	衣服
