frapper	敲(动词)
imiter	模仿(动词)
la voix	:“la” 是定冠词,修饰阴性名词 “voix”(声音),“la voix” 即 “声音”。
sauter	跳(动词)
sauter sur	意思是 “扑向......”
Ensuite	:副词,意为 “随后,接着”,用于表示时间顺序,引出接下来发生的事情。
coucher	躺下(动词)
a attendu	:“attendre”(等待)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“attendu” 是 “attendre” 的过去分词,表明狼 “等待” 小红帽这一动作在过去已经开始并持续。
Un peu après	:固定短语,意为 “过了一会儿”,在句中作时间状语,表明事件发生的时间顺序。
Comme	:连词,引导原因状语从句,意为 “因为,由于” ,说明主句中女孩产生错误认知的原因。
croire	相信(动词)
a cru	:“croire”(相信,认为)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“cru” 是 “croire” 的过去分词,这里表示小女孩 “认为” 这一动作在过去完成。
avait un rhume	:“avait” 是 “avoir” 的直陈式未完成过去时第三人称单数变位,“un rhume”(感冒),“avait un rhume” 表示 “患感冒” ,在宾语从句中作谓语,描述祖母当时的状态。
d'une voix douce	:“de” 在这里表示方式,“une voix douce” 意为 “温柔的声音”,“d'une voix douce” 整体表示 “用温柔的声音”,作方式状语,说明狼回应时使用的声音特点。
s'est caché	:“se cacher” 是代动词,意为 “躲藏” 。“s'” 是自反代词 “se” 的省音形式,与主语 “le loup” 配合;“est” 是助动词 être 的第三人称单数变位,“caché” 是 “se cacher” 的过去分词,构成代动词的复合过去时,表示狼 “躲藏” 这一动作在过去完成。
couverture	被子(阴性名词)
viens	:动词 “venir”(来)的第二人称单数命令式,意为 “过来”,要求对方来到说话者所在之处。
déshabiller	脱衣服(动词)
