la farine	特定的面粉
Je prends un kilo de farine	我买一公斤的面粉
un nez	一个鼻子（z不发音）
un noyau	一个种子核
un feu	一个火
Qu'est-ce que vous faites dans la vie	您从事什么工作？Whatdoyoudoinyourlife?
Qu'est-ce que vous prenez	您吃点什么？
Qu'est-ce que vous regardez	您在看什么？
Qu'est-ce que vous dites	您说什么？
semaine	名词，意为“星期、周”;周
voulez	要，想要
tous les jours	每天
prenez	带，乘坐，上
baguette	法棍面包
n'est pas marié	未婚
marié	婚，已婚的
ensemble	一起，俱
parlez	说，谈论
cuisinez	做
dansez	跳舞，舞
Elle vient du bureau des professeurs	她来自老师们的办公室(des=de+les)
au coin de la rue	在街角(au=à+le，coin角落)
la place	广场
sur la place de l'Opéra	在歌剧院那边的广场上。
Vous faite de la natation	你是否进行游泳这一活动
Vous prenez des légumes	你吃蔬菜吗？
venons	来
marcher	走路，走
dois	应该
immeuble	大楼，建筑物;大楼
tourner	转弯；转动；翻转
devant	在……前面prep
troisième	第三的
lieu	地方
trouver	找到;找到，发现v.t.
loin	远
pont	桥
route	路
près de	靠近，接近
