alliance	(n.f.) 同盟，联盟= alliance
allumer	(v.t.) 点燃，点亮，照亮；打开（暖气等）= to light, to turn on
alpinisme	(n.m.) 登山运动= mountaineering
alternance	(n.f.) 交替，更迭，轮换= alternation
ambassade	(n.f.) 大使馆= embassy
améliorer	(v.t.) 改良，改进= to improve
aménager	(v.t.) 整理，布置；治理= to arrange, to set up
amende	(n.f.) 罚款，罚金= fine
amener	(v.t.) 带来，导致= to bring
amère	(adj.) 苦的，苦涩的；痛苦的
amitié	(n.f.) 友情= friendship
ample	(adj.) 广大的，广阔的；丰富的，广泛的= ample
analyser	(v.t.) 分析= to analyze
âne	(n.m.) 驴= donkey
angoisse	(n.f.) 焦虑，苦恼，恐慌= anguish
aborder	(v.t.) 上前同... 交谈=英语 to approach
aboutir	(v.t.indir) 通向,通到;到达 /(v.i.) 获得成功=英语 to succeed
abri	(n.m.) 隐藏处,躲避处;保护,掩护,庇护=英语 shelter
abstrait	(adj.) 抽象的=英语 abstract
académie	(n.f.) 科学院;学会,学术协会=英语 academy
accabler	(v.t.) 使难以忍受=英语 to overwhelm
accélérer	(v.t.) 加速,加快,促进=英语 to accelerate
accomplir	(v.t.) 履行,完成,实现=英语 to accomplish
accro	(adj., n.) 入迷的(人)=英语 addict
accroître	(v.t.) 增加,增长;扩大=英语 to increase
accumuler	(v.t.) 堆积,积累,积聚=英语 to accumulate
accuser	(v.t.) 控诉,指责,非难;控告,起诉=英语 to accuse
acquérir	(v.t.) 获得,取得=英语 to acquire
adjoindre	(v.t.)添加,增添=英语 to add
administration	(n.f.)管理,治理,行政;政府的部门
adolescente	(n.)青少年(adj.)青春期的,青少年期的
adonner	(v.pr.)专心于,醉心于,沉湎于
ibuprofène	布洛芬
un lien	联系;关联=a link
tes règles	月经(阴性复数名词)=your period
certaines femmes	有些女性(“certaines” 是形容词 “certain” 的阴性复数形式)
lorsque	“当...... 时”
m'arrive	发生在我身上(“arriver à qn” 表示 “发生在某人身上”,“m'” 是 “me” 的缩写,“arrive” 是动词第三人称单数现在时)
je te raconte	我跟你说
j'avais raison	我是对的(“avoir raison” 是固定搭配,意为 “正确、对的”,“j'avais” 是 “avoir” 的第一人称单数未完成过去时)
poli	形容词,意为 “有礼貌的”,其否定形式通过 “mal” 体现,即 “不礼貌的”=impolite
vous ai dit	跟您说过
meurtrier	凶手(阳性名词)
encore une fois	“又一次、再一次”=英语的 "once again"
bêtes	愚蠢的,笨的(阴性复数形式); 动物,牲口(阴性名词复数,此处可理解为 “小虫、小动物”)
