la farine	特定的面粉
Je prends un kilo de farine	我买一公斤的面粉
un nez	一个鼻子（z不发音）
un noyau	一个种子核
un feu	一个火
Qu'est-ce que vous faites dans la vie	您从事什么工作？Whatdoyoudoinyourlife?
Qu'est-ce que vous prenez	您吃点什么？
Qu'est-ce que vous regardez	您在看什么？
Qu'est-ce que vous dites	您说什么？
semaine	名词，意为“星期、周”;周
savoir	知道，会
Tu peux marcher	你能走路吗？
Tu dois aller à droite	你应该去右边
parisiennes	意为“巴黎的”，是阴性复数形式
Je dois marcher	我应该走路。
la voisine	女邻居
Ce sont les étudiants de la première année	这些是一年级的学生
les Pays-Bas	荷兰(英语中常用“Netherlands”或“Holland”来表示荷兰);“荷兰”
écoute	听
écoutons	“我们听”。例如：Nousécoutonslamusique.（我们听音乐。）
dors	睡，睡觉，睡得
lis	阅读，读
joue	演出，演得，踢得
jouent	演出，拉得，演奏。例如：Ilsjouentdupiano.（他们弹钢琴。）
enfant	小孩子，小孩，孩子
chaque	每个，每，每场
regarde	看
jour	天，日子
légume	蔬菜
prêt	准备好了
prête	准备好了，借
prennent	拿，吃，喝，动词 prendre 的第三人称复数形式。
œuf	鸡蛋，蛋
venir	来，去（朝着说话者的方向或某个特定的地方移动）vs “aller”离开说话者所在的地方前往别的地方
