porcelaine	陶瓷(n.f.)(porcelain)
se rappeler	“记住”
J'ai téléchargé les deux films de Bin Gan mais je ne les ai pas encore regardés	“我下载了毕赣的两部电影,但我还没看。”
présent	“现在时”; “现在时”
Titre original chinois	中文原名; “中文原名:地球最后的夜晚”
légumes	蔬菜n.m.pl.
Je pense que je vais réussir	“我想我会成功的。”
passer un examen	参加考试(take an exam)
la pâtisserie	糕点店(bakery)
en bas de	向下,在下面(downstairs)
être athée	无神论者
croire en	相信(to believe in)
Dieu	上帝(God)
Et puis parce que quand on fait des études c'est mieux d'être près de l'école	“而且因为上学时,住在学校附近更好。”
grandir en ville	“在城市里长大”
un cahier de dessin	“一本绘画本”
mieux	更好(bien的比较级); “更好”=英语“better”
des jeux	“jeu” 的复数形式, “游戏;比赛;玩耍;策略”
Au lieu de dormir, il joue à des jeux vidéo	他不睡觉,而是玩电子游戏。
devrais	动词 “devoir” 的直陈式条件现在时中第二人称变位“应该;必须;得”
se fâcher	“生气;发怒”(代动词)
a souri	动词 “sourire”(微笑)的复合过去时,表明 “笑” 这个动作发生在过去。
traduire	“翻译”(动词)
traduit	动词 “traduire” 的过去分词形式,“est traduit” 构成了被动语态,表示 “被翻译”
la cinquantaine	“五十多岁”
