grâce à lui	“多亏了他”
un essai	“论文、散文”
retracer	“追溯、回顾”
la mentalité	心态;思维方式(英语=mentality)
réserver	预定,预约v.t.(英语:reserve)
souriante	面带微笑的adj.阴性(英语:smiling)
Vous voulez travailler avec des clients français et étrangers	您想与法国和外国客户一起工作
56, promenade des Anglais	英国人大道56号
Je peux fumer ici	我可以在这里吸烟吗?(Can I smoke here?); 我可以在这里吸烟吗?(Can I smoke here?)
savoir	知道,了解,会
Pour le 14 juillet, cette année, je suis allée à Paris, avec deux copines de la fac	今年的七月十四日,我和两个大学同学去了巴黎。(This year on July 14th, I went to Paris with two college friends.)
pouvoir	能够(can); 能够,会,可以(can)v.i.
je peux	我可以(I can)
ard de	(建筑术语)拱(arch) n.
exister	存在,生存v.i.
faculté	学院,系,能力n.f.(faculty)
magazine	杂志n.m.(magazine)
souvenir	回忆,纪念品n.m.(souvenir)
triomphe	凯旋,胜利n.m.(triumph)
un beau paysage	美丽的风景/ej/
inspectrice	检查员n.f.
pâtes	面条n.f.pl.意大利面
donner	给、提供、教授(to give)
montrer	展示(to show)
mettre	放置、使用、穿上(to put)
