rappeler	提醒
dire encore une fois	再说一次
j'ai mangé des nachos, des tacos, des burritos	我吃了玉米片,玉米卷饼,墨西哥卷饼
du guacamole	牛油果酱
un avocat	律师 / 牛油果
la santé	健康
de temps en temps	偶尔, 时不时地
pensait	想起(复合过去时)(penser的过去未完成时第三人称单数)
ce truc	这个工具
a mis	放置(复合过去时, mettre的第三人称单数)
en colère	生气,“colère” 是阴性名词,意为 “愤怒、生气”,在句子中作表语。
des travaux	工程;施工
Se reposer	休息一下。
se terminent	结束(复合过去时, terminer的第三人称复数)
un contrôle	测验、考试
j'ai eu	我得了(“eu” 是 “avoir” 的过去分词,“avoir + 过去分词” 是法语复合过去时的构成形式。)=英语的“have got”
Ils sont déçus	他们很失望。
camarade de classe	同学
quittés	分手(quitter的过去分词)
je n'ai jamais eu de petit ami	我从来没有男朋友。(eu:动词 “avoir” 的过去分词形式,“avoir + 过去分词” 是法语复合过去时的构成形式。)
la cinémathèque	电影资料馆
un vieux film	一部老电影
couper les cheveux à quelqu'un	给别人剪头发
se couper les cheveux	给自己剪头发
Ta mère t'a aidé	妈妈帮你了吗
Est-ce que ta mère t'aide à t'habiller	妈妈帮你穿衣服吗
Quand tu étais petite	当你还是小孩的时候
m'aidait	帮助我(过去时,第三人称单数)
Des fois, tu vas chez le coiffeur	有时候你会去理发店吗
Je ne vais jamais chez le coiffeur	我从不去理发店
ne... plus	不再
se couper	自己剪
contemporaine	当代的(adj.)(f.)
gratuite	免费的(adj.)(f.)
hôtel de ville	市政厅;市政府大楼(n.m.)
institut	学院(n.m.)机构
quai	站台;堤岸(n.m.)
SNCF	法国国家铁路公司(全称:Société Nationale des Chemins de Fer Français)
J'ai téléchargé	我下载了(过去分词)
En Europe on l'appelle RedNote	在欧洲,我们称之为RedNote。
utiliser	使用
qu'est-ce qu'elle dit sur l'application	她对这个应用程序有什么看法?
La viande	肉
des escargots	蜗牛
la malchance	倒霉
la consommation de	消费;食用
gâteaux de la lune	月饼
ceux que	哪些
5 noix	五仁味
du thé pu-erh	普洱茶
un repas copieux	丰盛的餐
quand on gagne	赢得一场比赛
la meilleure	最好的
la meilleure façon	“最好的方法”
de couper	“切”
un baguette	“一根法棍”
Les Français disent que le vin rouge c'est bon par la santé	“法国人说红葡萄酒对健康有益” - 这句话的表达有误,正确的说法应该是“对健康有好处”(pour la santé),而不是“par la santé”。
manger du poisson entier	“吃整条鱼”
apportera une bonne année	“会带来好运”
En Chine, certains croient que manger des œufs de cent ans prolonge la vie	“在中国,有些人相信吃皮蛋可以延年益寿。”
En Chine on partage les plats	“在中国,人们共享菜肴。”
les repas copieux et longs	“丰盛而漫长的餐食”
la fondue chinoise	“火锅”
ont l'habitude	“习惯”
certains pensent	“有些人认为”
manger des graines de lotus	“吃莲子”
le Nouvel An	“春节”
