sa propre famille	“自己的家庭”(英语=one's own family)
la religion	宗教(英语=religion)
Ils sont importants, il faut les garder	它们很重要,需要保留。”
corriger	批改(英语:to correct)
amener	带来、鞋带(英语:to bring)
le rattrapage	补考(英语:the retake)
aux alentours de	在...... 左右、大约(英语:around)
famille élargie	“大家庭”(英语=extended family)
objets familiaux	家族传承的物品(英语=family heirlooms)
hérités	继承的(英语=inherited)
racontait	“讲述”(英语=told)(未完成过去时)
la guerre à Paris	“巴黎的战争”(英语=the war in Paris)
idéale	“理想的”(英语=ideal)
en paix	“和平的”(英语=peaceful)
regarder une série	“一起看电视剧”
chacun	“每个人”(英语=each)
tante	“阿姨”
réserver	预定,预约v.t.(英语:reserve)
souriante	面带微笑的adj.阴性(英语:smiling)
Vous voulez travailler avec des clients français et étrangers	您想与法国和外国客户一起工作
56, promenade des Anglais	英国人大道56号
raconter qch à qn	给某人讲述某事(tell someone something)
execuser	原谅,宽恕(forgive)v.t.
médecin	医生(doctor)n.m.
le portable	笔记本电脑;手机(laptop; mobile phone)n.m.便携式的,手提式的(portable)adj.
se suicider	自杀
Le chasseur	猎人n.m.
se cacher	躲藏(to hide)
république	共和国(republic)n.f.
parvenir	到达(to reach)
être intervenu	干涉(to have intervened)-阳性
survenir	突然到达(to occur)
Vous êtes né quand	你什么时候出生的?(When were you born?)
la chambre du commerce	“商会”(英语:chamber of commerce)
la tête	是“头”(阴性名词); “头顶”; “头”头脑(head)n.f.
un truc	一个东西(“truc”是非正式用法,表示“东西”或“事物”); “一个东西”
en colère	生气,“colère” 是阴性名词,意为 “愤怒、生气”,在句子中作表语。; “生气的”(英语:angry)
