savoir faire quelque chose	“会做某事”“懂得做某事”
Mon corps	我的身体 (1-身体部位)
le doigt de pied	脚趾n.m.
les lèvres	嘴唇n.f.pl.
l'os	骨头n.m.
le cœur	心脏n.m.
les poumons	肺n.m.pl.
les taches de rousseur	雀斑n.f.pl.
le visage	脸n.m.
le cou	脖子n.m.
le dos	背n.m.背部
le ventre	肚子n.m.
la poitrine	胸部n.f.
le coude	肘n.m.
le main	手n.f.手;帮助
le pouce	拇指n.m.
la cheville	脚踝n.f.
l'orteil	脚趾n.m.
le genou	膝盖n.m.
l'épaule	肩膀n.f.
le menton	下巴n.m.
la bouche	嘴n.f.
une crêpe	饼(阴性名词)
sucrées	形容词 “sucré”(甜的)的阴性复数形式
jouer avec	“和...... 一起玩”
Les vacances sont proches	假期就要到了
un chemin	“一条路;一条小径”(阳性名词)
Camille, tu cours vite	“Camille,你跑得快吗?”
vraiment	真的(副词);确实
cueillir des fleurs	采花
se déshabiller	就是 “给自己脱衣服”。
couchée	形容词,意为 “躺着的”
fiche	是动词 “ficher” 的第一人称单数变位,意为 “在意,关心
Je m'en fiche	我不在乎(“en” 是副代词,代替前文提到的事物或情况,“me” 是自反代词)
un carambar	法国著名的长条软糖,通常有焦糖味、果味或巧克力味,每根糖果里面还藏着一个小笑话
un malabar	法国著名的泡泡糖品牌
savoir	知道
Je sais faire la cuisine	我会做饭
ensemble	一起
la Chandeleur	传统法国节日,即 “圣蜡节”,是基督教节日之一,通常在每年的2月2日庆祝,人们会在这一天吃可丽饼
sud	南
une terrasse	露台
Vous allez aussi en bus à Fort-de-France et à Sainte-Luce au sud, à la montagne Pelée et à Saint-Pierre au nord	您也将乘坐公交车前往位于南部的法兰西堡和圣吕斯,以及位于北部的佩雷山和圣皮埃尔。
Bon voyage	旅途愉快(bon  好adj.阳性+voyage  旅行n.m.)
Bonne route	一路平安(bonne  好adj.阴性+route  路n.f.)(route=road)
bord	边n.m.边缘;岸边
au bord de la mer	在海边(mer  大海n.f.)
au bord de la plage	在海滩边(plage  海滩n.f.)
carte	卡片n.f.;地图n.f.
un circuit	一条旅游线路(circuit  环形n.m.)
conceil	建议n.m.;劝告n.m.
réception	接待处n.f.
terrasse	阳台n.f.露台;晒台
Pour fêter	:表示“为了庆祝”,pour 是介词,表示“为了”,fêter 是动词 (庆祝)的原形。
qui vivent à Paris	:表示“住在巴黎的”,qui 是关系代词,vivent 是动词 vivre(生活,居住)的第三人称复数形式,表示“他们生活”。
mettre	:是动词(放置,挂)的原形。
ont mis	:是动词 mettre(放置,挂)的复合过去时形式,使用 avoir 作为助动词,表示“他们放了”。
des lanternes	:表示“灯笼”,des 是不定冠词的复数形式,表示一些,lanternes 是名词的复数形式。
L'année du serpent	蛇年
lapin	兔子(阳性名词)
bœuf	牛(阳性名词)
quartier	街区(阳性名词)
J'habite près du 2e quartier chinois de Paris	我住在巴黎第二个中国区附近。deuxième 是形容词,表示“第二”。
pendant	在...期间; 在......期间
faire	动词,意为“做,制造”;“做;干;进行”
pleuvoir	下雨(动词); 下雨(动词原形)
devoirs	作业(阳性名词)
ses	是 il/elle(他/她)的所有格形容词,表示“他的/她的/它的”。
Ils étaient	是动词 être(是)的 第三人称复数 未完成过去时(imparfait)变位,表示“他们在...”。
la tête	是“头”(阴性名词)
peau	皮肤(阴性)
J'ai la peau douce	我的皮肤很嫩
j'ai acheté une glace	我买了一个冰淇淋
ramasser	捡起(动词)
dedans	在里面(副词)
décorer	装饰(动词原形)
Corée	韩国(阴性名词)
aimerais	是动词 aimer(喜欢)的条件式现在时,表示一种愿望或礼貌语气,翻译为“想”或“希望”。(原形:aimer)
Est-ce qu'il pleut à Shanghai	上海下雨吗?
tempête	意为“暴风雨”;风暴(阴性名词)
exprimer	表达(原形)
poser	提出(原形)
complémentaires	补充的
L'examinateur peut ensuite vous poser des questions complémentaires	考官随后可能会向你提出一些补充性问题
Le printemps	春天(阳性名词)
en général	通常(副词),作状语
agréable	“宜人的、舒适的”(形容词)
