une victoire	胜利
gagner un match	赢得一场比赛
perdre un match	输掉一场比赛
attirer	吸引
du bruit	噪音
sa bouche	他的嘴
croient	相信(动词“croire”的第三人称复数现在时,表示“相信”)
apporte	动词 “apporter” 的第一人称单数直陈式现在时变位,意为 “带来;带去”,在句中作谓语,表示 “我” 正在进行的动作。
est associée	“与......相关联”; 与......有关(associer的过去分词)
En Chine, il est de coutume de boire du thé pu-erh après un repas copieux	在中国,习惯在丰盛的餐后喝普洱茶。 VRAI
aquarium	水族馆(n.m.)
Les Français pensent que le vin blanc est le meilleur accompagnement pour les fruits de mer	“法国人认为白葡萄酒是海鲜的最佳搭配。”
manger des escargots	“吃蜗牛”
apporte de la chance	“可以带来好运”
la fête de la mi-automne	“中秋节”
est associée	“与......相关联”
doit être	“应该”
croustillant à l'extérieur	“外皮酥脆”
et moelleux à l'intérieur	“内部柔软”
peut attirer l'amour	“可以吸引爱情”
En Chine, il est normal de faire du bruit avec sa bouche en mangeant	“在中国,吃饭时发出声响是正常的。”
resto	餐馆n.m.=restaurant
