il sort un album	“他发行了一张专辑。”
ils sortent un disque	“他们发行了一张唱片。”
La censure	“审查制度”
arrêter	停止(英语:stop)
la centrale nucléaire	“核电站”
dynamique	有活力的adj.
entretien	面试，会面n.m.
une sieste	午后小睡
siesta	“小睡(西班牙语)”
manger dehors	“在外面吃饭”
on a mangé occidental	“我们吃了‘西餐’”
une entrée	“一道开胃菜”
le portugais	“葡萄牙语”
être PACSÉ -comme le mariage, mais le divorce est plus facile	“民事结合(类似于婚姻,但离婚更简单)”
arrondissement	区(英语=district)
La mairie	市政厅(city hall)
Le drapeau des homosexuelles	“同性恋者的旗帜(同性恋者)”
famille élargie	“大家庭”(英语=extended family)
objets familiaux	家族传承的物品(英语=family heirlooms)
hérités	继承的(英语=inherited)
racontait	“讲述”(英语=told)(未完成过去时)
la guerre à Paris	“巴黎的战争”(英语=the war in Paris)
idéale	“理想的”(英语=ideal)
en paix	“和平的”(英语=peaceful)
regarder une série	“一起看电视剧”
chacun	“每个人”(英语=each)
tante	“阿姨”
