Meilleures salutations	致以最诚挚的问候
Responsable de l'agence Loca-loisirs	“Loca-loisirs	中介负责人”
Prenez-vous le bus	你们坐公共汽车吗?
l'impératif	命令式
Fais comme moi	跟我一样做(命令式)
Suivez-moi	跟我来(命令式)
Parle	请你说!(命令式,如果动词是er结尾,去掉er加e)
immobilière	房地产的adj.
louer	租用,出租v.t.
mètre carré	平方米n.m.
placard	壁橱n.m.
le plan	平面图n.m.
le responsable	负责人,主管n.m.
les salutations	敬意n.f.pl.(信末用语)
cette année	今年(阴性名词前用cette)
cette table-là	那张桌子(阴性名词前用cette, là表示“那个”)
ces romans-ci	这些小说(复数名词前用ces, ci表示“这些”)
ces voitures-là	那些汽车(复数名词前用ces, là表示“那些”)
agréable	“宜人的、舒适的”(形容词); 愉快的(不分阴阳性)
la face	(物体的)面n.f.
est grave	严重的(形容词,阳性和阴性形式相同)
avoir mal à la gorge	喉咙疼=英语的sore throat
le Train à Grande Vitesse	高速列车
Mettre	花费(时间)
Je mets	我花费
Ils mettent	他们花费
J'ai mis	我花费(mettre 动词的过去式,用来表示花费时间)
le coiffeur	理发师(阳性)
couper les cheveux	理发(-er 结尾的动词)
Les Parisiens	巴黎人(阳性)
Mauvais	坏的(阳性)
génial	了不起的、极好的(阳性)
Donner	给 (gěi)
Demander	问 / 请求 (wèn / qǐngqiú)
qu'est-ce que le médecin a dit	医生说什么?
une gastro	胃炎(阴性)(口语中,gastro 是 gastro-entérite(胃肠炎)的缩写,通常指胃肠道感染,常伴随呕吐和腹泻)
Une occasion spéciale	特殊的场合(阴性)
une gastroscopie	胃镜检查(阴性)
J'ai fait un examen gastrique	我做了胃镜检查
Quelque chose d'agréable	有什么愉快的事吗?
rien	什么都没有(通常用于否定句)
physiquement	外貌上(副词)
caractère	性格(阳性)=character(英语)
Expliquez	解释, 动词 "expliquer"(解释)的第二人称复数形式
maigre	瘦的,无性别变化,既可以用于阳性也可以用于阴性单数(他/她都可以瘦)
En général	一般来说=英语的generally
aux autres	别人(复数形式)(aux 是 à + les 的缩合形式,表示“对某人”)
de...à...	从...到...
Samedi prochain, le quinze	下周六,15号
Il est huit heures du matin	现在早上八点钟
Il est minuit	现在是午夜
Il est deux heures moins le quart	现在两点差一刻钟(moins表示减去)
une heure et demie"1小时30分"
une demi-heure	半小时
la place	广场n.f.
un aller simple	单程票
un aller-retour	往返票
classe	等级,级别(n.f.)
départ	出发(n.m.)
horaire	时间表(n.m.)
pendule	挂钟,座钟;钟摆(n.f.)
À la prochaine	下次见(省略了fois)
renseignement	有关资料,情况,咨询(n.m.)
tarif	价格,定价(n.m.)
voie	道路;车道,轨道(n.f.)
rythme	节奏(n.m.)
Tu as l'heure, s'il te plaît	请问几点钟?
voir	:动词原形,意思是 “看望;看见”,在句中作 “vais” 的补足语,表明 “去” 的目的。
Je m'en fiche	我不在乎(“en” 是副代词,代替前文提到的事物或情况,“me” 是自反代词)
sévère	严格; 严厉的(形容词)
siècle	世纪(阳性名词)
connaît	认识(动词 connaître(认识)的直陈式现在时第一人称单数变位形式)
depuis 6 mois	“6个月以来"
Que faites-vous ensemble	你们一起做什么?
peur	害怕(名词)
a été	“être” 的直陈式复合过去时第三人称单数形式,表示“是”或“在”
expliquer	解释(动词原形)
Parlez d'un professeur qui est, ou a été, important pour vous et expliquez pourquoi	谈谈一个对你来说很重要的老师,或者是一个你最喜欢的老师,并解释为什么。
Elle est très gentille	她非常和蔼。
