Tu viens avec moi	你和我一起来。
Où est-ce que le restaurant se trouve	餐厅在哪里?
Où le restaurant se trouve-t-il	餐厅在哪里?
peintre	“画家;画师;油漆工”n.m.; 画家n.m.
annonce	启事,告示,布告,公告n.f.
une avenue	大街,大道n.f.
au bout du couloir	在走廊的尽头
bruyante	吵闹的adj.
clair	明亮的adj.
savoir faire quelque chose	“会做某事”“懂得做某事”
Mon corps	我的身体 (1-身体部位)
le doigt de pied	脚趾n.m.
les lèvres	嘴唇n.f.pl.
l'os	骨头n.m.
le cœur	心脏n.m.
les poumons	肺n.m.pl.
les taches de rousseur	雀斑n.f.pl.
le visage	脸n.m.
le cou	脖子n.m.
le dos	背n.m.背部
le ventre	肚子n.m.
la poitrine	胸部n.f.
le coude	肘n.m.
le main	手n.f.手;帮助
le pouce	拇指n.m.
la cheville	脚踝n.f.
l'orteil	脚趾n.m.
le genou	膝盖n.m.
l'épaule	肩膀n.f.
le menton	下巴n.m.
la bouche	嘴n.f.
une crêpe	饼(阴性名词)
sucrées	形容词 “sucré”(甜的)的阴性复数形式
jouer avec	“和...... 一起玩”
Les vacances sont proches	假期就要到了
un chemin	“一条路;一条小径”(阳性名词)
Camille, tu cours vite	“Camille,你跑得快吗?”
vraiment	真的(副词);确实
cueillir des fleurs	采花
se déshabiller	就是 “给自己脱衣服”。
couchée	形容词,意为 “躺着的”
fiche	是动词 “ficher” 的第一人称单数变位,意为 “在意,关心
Je m'en fiche	我不在乎(“en” 是副代词,代替前文提到的事物或情况,“me” 是自反代词)
un carambar	法国著名的长条软糖,通常有焦糖味、果味或巧克力味,每根糖果里面还藏着一个小笑话
un malabar	法国著名的泡泡糖品牌
savoir	知道
Je sais faire la cuisine	我会做饭
ensemble	一起
la Chandeleur	传统法国节日,即 “圣蜡节”,是基督教节日之一,通常在每年的2月2日庆祝,人们会在这一天吃可丽饼
a frappé	:“frapper”(敲;击打)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“frappé” 是 “frappé” 的过去分词,表明狼 “敲门” 这一动作在过去已经完成。; :“frapper”(敲)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“frappé” 是 “frapper” 的过去分词,表明小红帽 “敲门” 这一动作在过去已经完成。
