un tirage	彩票开奖=a draw
une seule personne	只有一人=only one person
partager	分享、平分(原形动词)=to share
autant d'argent	固定短语(“autant de” 表 “如此多的、同样多的”,指代前文提到的 “2.5 亿欧元”;“argent” 此处特指 “中奖奖金“)=so much money
ferais	实义动词 “faire”(做、干)的未完成过去时虚拟式(主语为 “tu” 时的变位)=would do
créer	创立、创建、建立(原形动词)=to create
lutter contre	与...... 作斗争、对抗(原形动词短语)=to fight against
la civilisation	文明、文化(阴性名词)=civilization
avais	有(过去时,第一人称单数); (动词 avoir 的第一人称单数未完成过去时)有
raconter	“讲述”(英语=tell); “讲述”“叙述”“诉说”; 讲述;说
raison	原因;理由;理智;道理; 阴性名词,基本含义为 “理智、理性;理由、原因”=reason
deviner	猜到(动词原形); 猜到了(动词原形)
une usine	: 工厂“工厂”
C'est un peu ennuyeux	“就是有点无聊。”
nulle	“糟糕的”“差劲的”=英语bad
le concubinage	“同居”=英语cohabitation
le pacs -on vit ensemble et on signe un contrat	“民事结合(住在一起并签一份合同)。”
L'année dernière j'étais en seconde	“去年我在高一。”
chimie	“化学”
la retraite	“退休”=英语retirement
camarades	“同学”=英语classmates
