Vous parlez quelle langue	您讲哪种语言
Quel est votre nom	您姓什么？
Quelle est votre profession	您的职业是什么？
rue	街道，马路n.f.
fille	女孩，姑娘；女儿n.f.
journée	一天；白天，白昼n.f.
Bonne journée	祝你一天愉快
maintenant	现在，目前adv.
Merci à vous	谢谢您
Notre-Dame	圣母院n.f.inv(没有性数变化)
Bonne nuit	晚安
Bonne soirée	晚安
Bonne route	祝您旅途愉快
Bonne semaine	祝你一周愉快[s(ə)mεn]
Bon voyage	旅行愉快
Numéro	号码n.m.
Le Numéro de téléphone	电话号码
Les Champs-Élysées	香榭丽舍大街
mon école	我的学校（以元音字母或哑音h开头的阴性名词前，使用阳性定冠词“mon”“ton”“son”）
ton amie	你的朋友（以元音字母或哑音h开头的阴性名词前，使用阳性定冠词“mon”“ton”“son”）
son histoire	它的历史（以元音字母或哑音h开头的阴性名词前，使用阳性定冠词“mon”“ton”“son”）
Quelle est ton adresse	你的地址是什么？
aller	去；走；处于（某种状态）;运转，进行，进展v.i.
je vais	我去
alors	那么，在这种情况下adv.=Then
avec	和。。。一起prep.=with
avoir	有v.t.
nous avons	（我们有）
vous avez	（你们有；您有，用于第二人称复数或敬称单数）
familière	(adj.)家庭的;(阴性）
neuve	(adj.)新的（阴性）
chère	(adj.)(m)亲爱的（阴性）
heureuse	(adj.)幸福的，美满的；快乐的;高兴的(阴性）
l'Iran	伊朗
les États-Unis	美国
les Pays-Bas	荷兰
le Caire	(开罗)个别城市名有阴阳性之分
belge	比利时的adj.;比利时人n.Belge（首字母大写）
directeur	经理n.阳性形式
directrice	经理n.阴性形式
français	法语n.m.
rendez-vous	约会，预约n.m.
sur rendez-vous	(医生接待)预约就诊(的病人)
s'il vous plaît	请，请您，请问loc.
téléphone	电话；电话机n.m
l'héroïne	女英雄；女主人公
C'est une belle voiture	这是一辆漂亮的车
La voiture est à M.Dupont	这是杜邦先生的。（表示前面已经提到过的人或事物，用定冠词la)
Vous n'avez pas de cours ce matin	你们今天上午没课吗?
Non Le professeur est malade	没有。老师病了。(表示谈话双方皆知的人或事物,用定冠词le)
Anne est la petite sœur de Paul	安娜是保罗的小妹妹。（用在受其他成分限定的名词前）
J'aime beaucoup le café	我很喜欢咖啡。（表示人或事物的总体概念）
La Terre est ronde	地球是圆的。（表示独一无二的事物。）
boulanger	面包师傅（阳性）
boulangère	面包师傅（阴性）
juif	犹太的,犹太人的（阳性）
juive	犹太的,犹太人的（阴性）
six enfants	六个孩子[sis]
plage	沙滩
visites	去玩(第二人称单数的现在时变位形式)
musée	博物馆
veulent	“想要”“愿意”“希望”(第三人称复数形式)“theywant”（他们想要）
château	城堡(阳性名词)
église	教堂(阴性名词)
le mexique est un pays	墨西哥是一个国家
j'aime le mexique	我喜欢墨西哥
le brésil est ton pays	巴西是你的国家
je voyage beaucoup	我常常旅行
j'aime les vacances	我喜欢假期
je voyage avec mon frère	我和我的兄弟一起旅行
tu voyages avec ton père	你和你的父亲一起旅行吗？
ils aiment les vacances	他们喜欢假期
nous visitons le brésil	我们去巴西玩
une chaise	一把椅子
appeler	名叫
bienvenue	欢迎n.f.
italien	意大利的；n.意大利人；n.m.意大利语
la baule	拉波尔（法国西部海滨城市）
maman	妈妈（儿语，对母亲的爱称）n.f
nationalité	国籍n.f.
nom	姓氏n.m.
qui	谁pron.interr.
et voici ma femme alice	还有这是我的妻子Alice
qui est-ce	你是谁？
elles aiment la musique	（她们喜欢音乐。）
tes	你的（复数）
mes livres sont intéressants	（我的书很有趣。）
frères	兄弟们
ont	（有）的第三人称复数形式
étudiants	大学生们
étudie	学习(直陈式现在时第三人称单数)
habitent	（居住）的第三人称复数形式
travaillent	（工作）的第三人称复数形式
mangent	（吃）的第三人称复数形式
nous sommes	（我们是）
vous êtes	（您/你们是）
boulangerie	面包房;面包店
j'aime la musique	我喜欢音乐
nous voulons lire un livre	我们想要阅读一本书
je vais à l'école en voiture	我乘汽车去学校
nous allons à la boulangerie	我们去面包店
je vais au parc	我去公园（当à和le一起出现，要合并成au）
elle est amusante	她很有趣
nous sommes chinois	我们是中国人
il a trois chats	他有三只猫（复数）
les garcons sont étudiants	那些男孩是大学生
les filles sont en espagne	这些女孩在西班牙
mes frères aiment le chocolat	我的兄弟们喜欢巧克力
tes parents sont ici	你的父母在这里
ce sont tes filles	这是你的女儿们吗？
ses parents sont amusants	她的父母很有趣
la femme est contente	这个女人很高兴
les femmes sont contentes	那些女人很高兴（如果谈论的是复数名词，形容词词尾也要加上-s）
jus	果汁
voudrais	(jeveux我想要:是直陈式，相当于“Iwant”）“jevoudrais”类似于“Iwouldlike”（更加委婉）
serveur	服务员
toilettes	卫生间
personne	人；任何人；没有人
amusantes	有趣的
amusants	有趣的
intelligentes	聪明的；有智慧
intelligente	聪明的
contents	高兴的
mexicaines	墨西哥的；墨西哥人
contente	高兴的；满意；很高兴
ses	“他的/她的/它的（复数）”
ses livres sont intéressants	他/她/它的书很有趣。
ce sont	他们是；她们是
aiment	喜欢（第三人称复数形式）
