belge	比利时的adj.;比利时人n.Belge（首字母大写）
rendez-vous	约会，预约n.m.
assiette	盘子n.f.
Il parle français avec un accent anglais	他说法语带有英语口音
cuillère	勺，匙n.f.
vol	航班，班机
de rien	没关系，这没什么，没事
beurre	黄油
miel	蜂蜜
céréales	谷物食品
Tu sors de chez Paul	你从保罗家出来吗？;你从Paul家出去吗？
Tu dois sortir	你应该出去
Une horloge	一个时钟
le coin	角落，街角n.m
écrivain	“作家；作者n.m.
sculptrice	女雕塑家
Trop de lait	太多牛奶
Il y a un peu de sucre dans le placard	橱柜里有一点糖
Vous devez rentrer très tôt	你们应该非常早回。
horloge	时钟;“时钟”“钟表”
Tu sors	你出去吗？
tard	晚，晚点;晚，迟
Je voudrais un verre de lait	我想要一杯牛奶。
Tu sors de chez Paul	你从保罗家出来吗？;你从Paul家出去吗？
roulent	行驶（动词“rouler”的第三人称复数形式）
voulez	要，想要
tous les jours	每天
prenez	带，乘坐，上
baguette	法棍面包
n'est pas marié	未婚
marié	婚，已婚的
ensemble	一起，俱
parlez	说，谈论
cuisinez	做
dansez	跳舞，舞
Elle vient du bureau des professeurs	她来自老师们的办公室(des=de+les)
au coin de la rue	在街角(au=à+le，coin角落)
la place	广场
sur la place de l'Opéra	在歌剧院那边的广场上。
Vous faite de la natation	你是否进行游泳这一活动
Vous prenez des légumes	你吃蔬菜吗？
