sensuelle	“性感的”(sensual)
Ma note au contrôle de chinois	我的中文考试成绩(My Chinese exam score)
j'ai encore	“我又得了”(I got again)
pendant l'été	“在暑假期间”(during the summer)
devoir passer	“必须参加”(have to take)
examen de rattrapage	“补考”(make-up exam)
Quel est ta date de naissance	“你的出生日期是什么?”(What is your date of birth?)
depuis très longtemps	“很久以来”(for a long time)
loisirs	休闲活动(n.m.pl.)
Est-ce votre activité de loisirs préférée, Pourquoi	“这是您最喜欢的休闲活动吗?为什么?”
passé	“过去时”
t'a appris	“教你(过去式)”(动词 apprendre(教)的复合过去时)
ainsi de suite	等等(and so on)
Avoir besoin de	“需要”(need)
un ophtalmologiste	眼科医生(eye doctor)
une ordonnance	处方,方药(prescription)
drôle	“有趣的”(funny)
Cochon	猪(pig)
à la maternelle	幼儿园(kindergarten)
un moyen de	一种...的方法
le tramway	“有轨电车”
un ingrédient	“一种食材”
citer	引用
Ma recette préférée	“我最喜欢的食谱”
quelle occasion	什么场合(what occasion)
contexte	背景(context)
L'événement de l'année	“年度事件”(the event of the year)
apprécier	欣赏(appreciate)
On fait des crêpes	咱们做可丽饼吧?(2月2日)
l'article partitif	部分冠词
tellement	这么多,如此
Aie du courage, ce n'est pas tellement difficile	有点勇气,这并不那么难。(“Aie” 是 “avoir” 的命令式)
soleil	阳光n.m.
Il y a de la neige cette semaine	这周有雪。
Elle aime jouer du Chopin	她喜欢演奏肖邦的作品。(表示某人作品的一部分)
Ils sont sages	“他们表现得好吗?”
Je regarde quels films vont être à Cannes	“我在看哪些电影将在戛纳放映。”
sera	“将会”“être(是、在)” 的简单将来时第三人称单数
depuis	介词,意为 “从......起”
leur anniversaire de mariage	“他们的结婚纪念日”
fêtent	“庆祝”,法语动词 “fêter” 的直陈式现在时第三人称复数
pratique	“方便的”=英语“convenient”
boîte	盒子n.f.夜总会
campagne	乡村n.f.
faire de la course	奔跑
faire du jogging	慢跑
D'abord, je me lève, ensuite je me lave, après je prends le petit-déjeuner, enfin je sors de la maison	首先,我起床,然后我洗澡,之后我吃早饭,最后我出门。
Après, je me lave et je m'habille	然后我洗澡和穿衣服。
Je me lave tous les matins	我每天早上洗澡。
journaux	报纸
génial	棒,很棒的,十分好
non-fumeur	无烟的
mot de passe	密码
prendre une douche	洗淋浴
propre	干净的,净
réserver	预订
serviette	毛巾,餐巾,巾
clé	钥匙
bain	洗澡,沐浴
neige	雪,下雪
vent	风
nuage	云
dehors	外面
quart	一刻,刻
coucher	卧,上床睡觉
Le palais impérial	故宫
sévère	严格; 严厉的(形容词); 严格
croire	相信(动词); 意为“相信”。; 相信。
encore	还(副词); 副词,此处表示 “还,仍然” =英语的yet; 副词,意为 “还,仍然;再,又;更,更加”,在这里表示 “还”,用于修饰动词 “appris”,说明动作 “学习” 的状态还未完成。
