original	独到的,新颖的 adj.=original
tenir	拿着v.t.=hold
aérienne	(adj.)航空的=英语 aerial
aéronautique	(adj.)航天的=英语 aeronautical
affaire	(n.f.)事务;事件;买卖;pl.(个人的)衣物;生意=英语 business
afficher	(v.t.)张贴,公布=英语 to post
affirmer	(v.t.)证实,显示,表明,肯定,断定=英语 to assert
afin de	(loc.prép.)为了,以便=英语 in order to
aggraver	(v.t.)加重;使严重;加剧=英语 to worsen
agneau	(n.m.)羊羔,小绵羊=英语 lamb
agriculture	(n.f.)农业=英语 agriculture
aigre	(adj.)酸的,发酸的=英语 sour
aigu	(adj.)尖声的;敏锐的;尖锐的;急性的=英语 acute
aiguille	(n.f.)针=英语 needle
aile	(n.f.)翅膀;翼=英语 wing
laisser	放开,使得v.t.=let
accrocher	(v.t.) 钩住;悬挂;获得;吸引=英语 to hook
accumuler	(v.t.) 堆积,积累,积聚=英语 to accumulate
accuser	(v.t.) 控诉,指责,非难;控告,起诉=英语 to accuse
achever	(v.t.) 结束,完成=英语 to finish
acquérir	(v.t.) 获得,取得=英语 to acquire
adjoindre	(v.t.)添加,增添=英语 to add
administration	(n.f.)管理,治理,行政;政府的部门
admirer	(v.t.)欣赏,赞赏
en colère	生气,“colère” 是阴性名词,意为 “愤怒、生气”,在句子中作表语。; “生气的”(英语:angry); “处于生气的状态”,“colère” 是阴性名词 “愤怒”,“en + 名词” 表 “处于...... 状态”=英语 be in + 名词
parmi	“在...... 之中”“在...... 中间”
Appartenir à un groupe	“属于一个群体”
aborder	(v.t.) 上前同... 交谈=英语 to approach
abri	(n.m.) 隐藏处,躲避处;保护,掩护,庇护=英语 shelter
abstrait	(adj.) 抽象的=英语 abstract
académie	(n.f.) 科学院;学会,学术协会=英语 academy
accélérer	(v.t.) 加速,加快,促进=英语 to accelerate
