des appareils	电器(英语:appliances)
bâtiment	建筑(英语:building)
occidentaux	西方人(英语:Westerners)
Il faut qch à qn	某人需要某物
sa propre famille	“自己的家庭”(英语=one's own family)
la religion	宗教(英语=religion)
Ils sont importants, il faut les garder	它们很重要,需要保留。”
corriger	批改(英语:to correct)
amener	带来、鞋带(英语:to bring)
le rattrapage	补考(英语:the retake)
aux alentours de	在...... 左右、大约(英语:around)
vacciné	疫苗
malheureuses	“不幸的”(阴性复数形式)
communiquer	沟通,交流(英语=communicate)
4 générations sous le même toit	四代人在同一屋檐下生活
domestiques	“家养的,驯养的”(英语=domestic)
grâce à lui	“多亏了他”
un essai	“论文、散文”
retracer	“追溯、回顾”
la mentalité	心态;思维方式(英语=mentality)
Je peux fumer ici	我可以在这里吸烟吗?(Can I smoke here?); 我可以在这里吸烟吗?(Can I smoke here?)
savoir	知道,了解,会
ard de	(建筑术语)拱(arch) n.
exister	存在,生存v.i.
faculté	学院,系,能力n.f.(faculty)
magazine	杂志n.m.(magazine)
souvenir	回忆,纪念品n.m.(souvenir)
triomphe	凯旋,胜利n.m.(triumph)
