Vous parlez quelle langue	您讲哪种语言
Quel est votre nom	您姓什么？
Quelle est votre profession	您的职业是什么？
rue	街道，马路n.f.
familière	(adj.)家庭的;(阴性）
neuve	(adj.)新的（阴性）
chère	(adj.)(m)亲爱的（阴性）
heureuse	(adj.)幸福的，美满的；快乐的;高兴的(阴性）
l'Iran	伊朗
les États-Unis	美国
les Pays-Bas	荷兰
le Caire	(开罗)个别城市名有阴阳性之分
plage	沙滩
visites	去玩(第二人称单数的现在时变位形式)
musée	博物馆
veulent	“想要”“愿意”“希望”(第三人称复数形式)“theywant”（他们想要）
château	城堡(阳性名词)
église	教堂(阴性名词)
le mexique est un pays	墨西哥是一个国家
j'aime le mexique	我喜欢墨西哥
le brésil est ton pays	巴西是你的国家
je voyage beaucoup	我常常旅行
j'aime les vacances	我喜欢假期
je voyage avec mon frère	我和我的兄弟一起旅行
tu voyages avec ton père	你和你的父亲一起旅行吗？
ils aiment les vacances	他们喜欢假期
nous visitons le brésil	我们去巴西玩
une chaise	一把椅子
