des appareils	电器(英语:appliances)
bâtiment	建筑(英语:building)
occidentaux	西方人(英语:Westerners)
Il faut qch à qn	某人需要某物
réserver	预定,预约v.t.(英语:reserve)
souriante	面带微笑的adj.阴性(英语:smiling)
Vous voulez travailler avec des clients français et étrangers	您想与法国和外国客户一起工作
56, promenade des Anglais	英国人大道56号
Pour le 14 juillet, cette année, je suis allée à Paris, avec deux copines de la fac	今年的七月十四日,我和两个大学同学去了巴黎。(This year on July 14th, I went to Paris with two college friends.)
pouvoir	能够(can); 能够,会,可以(can)v.i.
je peux	我可以(I can)
