roulent	行驶（动词“rouler”的第三人称复数形式）
voulez	要，想要
tous les jours	每天
prenez	带，乘坐，上
baguette	法棍面包
n'est pas marié	未婚
marié	婚，已婚的
ensemble	一起，俱
parlez	说，谈论
cuisinez	做
dansez	跳舞，舞
Elle vient du bureau des professeurs	她来自老师们的办公室(des=de+les)
au coin de la rue	在街角(au=à+le，coin角落)
la place	广场
sur la place de l'Opéra	在歌剧院那边的广场上。
Vous faite de la natation	你是否进行游泳这一活动
Vous prenez des légumes	你吃蔬菜吗？
savoir	知道，会
Tu peux marcher	你能走路吗？
Tu dois aller à droite	你应该去右边
parisiennes	意为“巴黎的”，是阴性复数形式
Je dois marcher	我应该走路。
la voisine	女邻居
Ce sont les étudiants de la première année	这些是一年级的学生
les Pays-Bas	荷兰(英语中常用“Netherlands”或“Holland”来表示荷兰);“荷兰”
écrivent	写，书写; “écrire”（写）的第三人称复数形式。
un portable	手机
sur	在..上面prep=On
collègue	同事
usine	工厂
médecin	医生
chauffeur	司机
métier	职业
salon	客厅
porte	戴，带，穿;门n.f.
gentille	和善;形容阴性单数名词
vache	奶牛，牛
gentil	和善
J'aime l'appartement de mes voisins	我喜欢我邻居的公寓
vêtements	衣服
