un tirage	彩票开奖=a draw
une seule personne	只有一人=only one person
partager	分享、平分(原形动词)=to share
autant d'argent	固定短语(“autant de” 表 “如此多的、同样多的”,指代前文提到的 “2.5 亿欧元”;“argent” 此处特指 “中奖奖金“)=so much money
ferais	实义动词 “faire”(做、干)的未完成过去时虚拟式(主语为 “tu” 时的变位)=would do
créer	创立、创建、建立(原形动词)=to create
lutter contre	与...... 作斗争、对抗(原形动词短语)=to fight against
la civilisation	文明、文化(阴性名词)=civilization
environ	副词(表概数,相当于 “大约、大概”)=英语 approximately
se mettent	变得 / 进入(...... 状态)反身动词短语 “se mettre”(原形)的直陈式现在时,主语为 “des gens”(第三人称复数)时的变位
des gros mots	粗话 / 脏话=英语 swear words / curse words
une tasse	“杯子”  = a cup
Valeur Sentimentale	“片名《情感价值》。”
C'est un film norvégien	“这是一部挪威电影。”(Norway)
Norvège	“挪威”=Norway
d'une trentaine d'année	介词短语,用来修饰 “femme”, 表示 “三十多岁”=about thirty years old
l'Euromillion	欧洲百万(彩票名)
une loterie	“彩票、抽奖”=a lottery
