de...à...	从...到...
Samedi prochain, le quinze	下周六,15号
Il est huit heures du matin	现在早上八点钟
Il est minuit	现在是午夜
Il est deux heures moins le quart	现在两点差一刻钟(moins表示减去)
une heure et demie"1小时30分"
une demi-heure	半小时
la place	广场n.f.
un aller simple	单程票
un aller-retour	往返票
classe	等级,级别(n.f.)
départ	出发(n.m.)
horaire	时间表(n.m.)
pendule	挂钟,座钟;钟摆(n.f.)
À la prochaine	下次见(省略了fois)
renseignement	有关资料,情况,咨询(n.m.)
tarif	价格,定价(n.m.)
voie	道路;车道,轨道(n.f.)
rythme	节奏(n.m.)
Tu as l'heure, s'il te plaît	请问几点钟?
voir	:动词原形,意思是 “看望;看见”,在句中作 “vais” 的补足语,表明 “去” 的目的。
Je m'en fiche	我不在乎(“en” 是副代词,代替前文提到的事物或情况,“me” 是自反代词)
sévère	严格; 严厉的(形容词)
siècle	世纪(阳性名词)
connaît	认识(动词 connaître(认识)的直陈式现在时第一人称单数变位形式)
depuis 6 mois	“6个月以来"
Que faites-vous ensemble	你们一起做什么?
peur	害怕(名词)
a été	“être” 的直陈式复合过去时第三人称单数形式,表示“是”或“在”
expliquer	解释(动词原形)
Parlez d'un professeur qui est, ou a été, important pour vous et expliquez pourquoi	谈谈一个对你来说很重要的老师,或者是一个你最喜欢的老师,并解释为什么。
Elle est très gentille	她非常和蔼。
s'occuper de	照顾(动词短语)(“se” 是自反代词,表示“自己”)
serre	“抱紧,搂住”(动词 serrer(抱)的第三人称单数形式)
ses bras	她的胳膊
Voulez-vous commander la paëlla	您想点海鲜饭吗?(voulez-vous:动词 vouloir(想要)的直陈式现在时第二人称复数变位形式)
Tous les jours, je fais un peu mes devoirs	每天,我都会做一点儿作业
pour le nouvel an chinois	为了庆祝中国新年
Tu as eu combien d'argent pour le nouvel an chinois	你过年收到了多少压岁钱?(“Tu as eu” 是 “avoir” 的复合过去时,表示 “你有了” )
pareil	一样(形容词)
Hier	昨天(副词)
un biopic	传记片(biography picture的缩写)
raconter	讲述
célèbre	著名的
toujours	仍然(副词)
vivant	活着的(形容词)
joue	扮演”(动词 jouer(演)的直陈式现在时第三人称单数变位形式)
l'écran	屏幕(阳性名词)(定冠词 le 在以元音音素开头的名词前,要缩合为 l' )
fatiguée	疲劳的(女性形式)
les repas en français	法语中的三餐
la nourriture	食物(阴性名词)
du poisson	一些鱼(部分冠词 “du” 是由定冠词 “le” 和介词 “de” 缩合而成,表示不可数名词的部分,不是在强调具体有几条鱼,而是泛指吃了一些鱼肉或者一些鱼的部分)
le plus connu	最有名的(plus:副词 “更” 的最高级形式)
a frappé	:“frapper”(敲;击打)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“frappé” 是 “frappé” 的过去分词,表明狼 “敲门” 这一动作在过去已经完成。; :“frapper”(敲)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“frappé” 是 “frapper” 的过去分词,表明小红帽 “敲门” 这一动作在过去已经完成。
a répondu	:“répondre”(回答)的直陈式现在完成时第三人称单数变位。“a” 是助动词 “avoir” 的第三人称单数形式,“répondú” 是 “répondre” 的过去分词,共同构成 “已经回答” 这一过去完成的动作。; 是动词 “répondre”(回答)的直陈式现在完成时第三人称单数变位形式,“a” 是助动词 “avoir” 的第三人称单数变位,“répondue” 是 “répondre” 的过去分词,表明 “回答” 这个动作在过去已经完成 。
courir	跑(动词); :动词,意为 “跑” 。在这里作谓语,表示祖母的腿长是为了 “跑得快” 。
il pleut	下雨(动词)(其中 “il” 是无人称主语,表示天气,“pleut” 是动词 “pleuvoir(下雨)” 的第三人称单数变位形式); :意思是“下雨”,动词 pleuvoir 的第三人称单数形式,专用于描述天气。
rester	剩下; 原形,意为“留下,待在”
chemisier	女衬衫n.m.
dehors	:副词,意为 “在外面”,在这里作地点状语,表明吃饭的地点。
un élève	:“一个学生”,“un” 为不定冠词,“élève” 表示 “学生”。
à la crème	是固定表达,意为 “带有奶油的” ,说明这个羊角面包内有奶油馅料。
la dernière fois	:“la” 是定冠词,“dernière” 是形容词 “最后的”,“fois” 是名词 “次数”,整体意思是 “最后一次” 。
s'est déshabillée	:“se déshabiller” 是代动词,意为 “脱衣服” 。“s'” 是自反代词 “se” 的省音形式,与主语配合;“est” 是助动词 être 的第三人称单数变位,“déshabillée” 是 “se déshabiller” 的过去分词,构成代动词的复合过去时,表示小红帽 “脱衣服” 这一动作在过去完成。由于主语是女性,过去分词用阴性形式。
bizarre	:形容词,意为 “奇怪的”,在宾语从句中作表语,描述祖母的状态。
bras	:名词,“胳膊” 的复数形式。
embrasser	:动词,“拥抱” 。
