il sort un album	“他发行了一张专辑。”
ils sortent un disque	“他们发行了一张唱片。”
La censure	“审查制度”
arrêter	停止(英语:stop)
la centrale nucléaire	“核电站”
dynamique	有活力的adj.
entretien	面试，会面n.m.
une sieste	午后小睡
siesta	“小睡(西班牙语)”
manger dehors	“在外面吃饭”
on a mangé occidental	“我们吃了‘西餐’”
une entrée	“一道开胃菜”
le portugais	“葡萄牙语”
être PACSÉ -comme le mariage, mais le divorce est plus facile	“民事结合(类似于婚姻,但离婚更简单)”
dépenser	花费(spend)
les doigts dans le nez	“轻而易举”,手指在鼻子里
parti communiste	共产党
Le réseau	网络(network)
sa propre famille	“自己的家庭”(英语=one's own family)
la religion	宗教(英语=religion)
Ils sont importants, il faut les garder	它们很重要,需要保留。”
corriger	批改(英语:to correct)
amener	带来、鞋带(英语:to bring)
le rattrapage	补考(英语:the retake)
aux alentours de	在...... 左右、大约(英语:around)
