Joyeux Noël	“圣诞快乐”，是在圣诞节期间人们互相祝福的常用语。;“圣诞快乐”
Tu veux du miel	你想要蜂蜜吗？
prochain	下一个，接下来的
passer	度过，参加
été	夏天，夏
faire de la plongée	去潜水
février	二月
temps	时间
Je veux faire de la plongée	我想要去潜水。
lentement	慢,慢慢地
comprenons	懂,理解,明白
sac à dos	背包
tourner	转弯(原形)
Tourne	请转弯!(命令式,如果动词是er结尾,去掉er加e)
Va tout droit	你直走(命令式)
Prends le bus	你坐公共汽车(命令式)
Va à la poste	你去邮局(命令式)
Vas-y	你去吧(命令式)(加s接元音)
Donnes-en	给我(命令式)(en代表着一些东西)(加s接元音)
Parles-en	说给我(命令式)(en代表着一些东西)(加s接元音)
Aie	请你有!(命令式,不规则)
Sois	请你是!(命令式,不规则)
Aie de la patience	请你有耐心(命令式)
Ayez du courage	请您有勇气(命令式)
Sois patient	请你是有耐心(命令式)
Soyez courageux	请您是有勇气(命令式)
Meilleures salutations	致以最诚挚的问候
Responsable de l'agence Loca-loisirs	“Loca-loisirs	中介负责人”
Prenez-vous le bus	你们坐公共汽车吗?
l'impératif	命令式
Fais comme moi	跟我一样做(命令式)
Suivez-moi	跟我来(命令式)
Parle	请你说!(命令式,如果动词是er结尾,去掉er加e)
agréable	“宜人的、舒适的”(形容词); 愉快的(不分阴阳性)
la face	(物体的)面n.f.
est grave	严重的(形容词,阳性和阴性形式相同)
avoir mal à la gorge	喉咙疼=英语的sore throat
le Train à Grande Vitesse	高速列车
Mettre	花费(时间)
Je mets	我花费
Ils mettent	他们花费
J'ai mis	我花费(mettre 动词的过去式,用来表示花费时间)
le coiffeur	理发师(阳性)
couper les cheveux	理发(-er 结尾的动词)
Les Parisiens	巴黎人(阳性)
Mauvais	坏的(阳性)
génial	了不起的、极好的(阳性)
Donner	给 (gěi)
Demander	问 / 请求 (wèn / qǐngqiú)
qu'est-ce que le médecin a dit	医生说什么?
une gastro	胃炎(阴性)(口语中,gastro 是 gastro-entérite(胃肠炎)的缩写,通常指胃肠道感染,常伴随呕吐和腹泻)
Une occasion spéciale	特殊的场合(阴性)
une gastroscopie	胃镜检查(阴性)
J'ai fait un examen gastrique	我做了胃镜检查
Quelque chose d'agréable	有什么愉快的事吗?
rien	什么都没有(通常用于否定句)
physiquement	外貌上(副词)
caractère	性格(阳性)=character(英语)
Expliquez	解释, 动词 "expliquer"(解释)的第二人称复数形式
maigre	瘦的,无性别变化,既可以用于阳性也可以用于阴性单数(他/她都可以瘦)
En général	一般来说=英语的generally
aux autres	别人(复数形式)(aux 是 à + les 的缩合形式,表示“对某人”)
de...à...	从...到...
Samedi prochain, le quinze	下周六,15号
Il est huit heures du matin	现在早上八点钟
Il est minuit	现在是午夜
Il est deux heures moins le quart	现在两点差一刻钟(moins表示减去)
une heure et demie"1小时30分"
une demi-heure	半小时
la place	广场n.f.
un aller simple	单程票
un aller-retour	往返票
classe	等级,级别(n.f.)
départ	出发(n.m.)
horaire	时间表(n.m.)
pendule	挂钟,座钟;钟摆(n.f.)
À la prochaine	下次见(省略了fois)
renseignement	有关资料,情况,咨询(n.m.)
tarif	价格,定价(n.m.)
voie	道路;车道,轨道(n.f.)
rythme	节奏(n.m.)
Tu as l'heure, s'il te plaît	请问几点钟?
a frappé	:“frapper”(敲;击打)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“frappé” 是 “frappé” 的过去分词,表明狼 “敲门” 这一动作在过去已经完成。; :“frapper”(敲)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“frappé” 是 “frapper” 的过去分词,表明小红帽 “敲门” 这一动作在过去已经完成。
a répondu	:“répondre”(回答)的直陈式现在完成时第三人称单数变位。“a” 是助动词 “avoir” 的第三人称单数形式,“répondú” 是 “répondre” 的过去分词,共同构成 “已经回答” 这一过去完成的动作。; 是动词 “répondre”(回答)的直陈式现在完成时第三人称单数变位形式,“a” 是助动词 “avoir” 的第三人称单数变位,“répondue” 是 “répondre” 的过去分词,表明 “回答” 这个动作在过去已经完成 。
courir	跑(动词); :动词,意为 “跑” 。在这里作谓语,表示祖母的腿长是为了 “跑得快” 。
il pleut	下雨(动词)(其中 “il” 是无人称主语,表示天气,“pleut” 是动词 “pleuvoir(下雨)” 的第三人称单数变位形式); :意思是“下雨”,动词 pleuvoir 的第三人称单数形式,专用于描述天气。
rester	剩下; 原形,意为“留下,待在”
chemisier	女衬衫n.m.
