protéger	保护
ceux	那些人(指代前面提到的人)
Leçon de grammaire	法语语法课
appartenir à	属于
indiquer	表示;指出
ajouter	添加
perdre	输
gagner	赢
Au lycée, en France, il n'y a pas de cours de Politique et éducation civique mais il y a des cours de philosophie	在法国的高中,没有政治和公民教育课,但有哲学课。
chez le médecin	在医生那里
plusieurs jours	几天
corrida	斗牛
Tardes de Soledad	《孤独的午后》
à l'occidentale	西方的 用西式的方法
bleu	生的
saignant	半生不熟;带血
à point	适中熟度
bien cuit	熟透了
c'était quoi exactement tes devoirs de français	你具体的法语作业是什么呀?
Camille, il faut apprendre par cœur ta présentation	卡米尔,你必须背诵你的自我介绍。
dizaine	十几个
élèves	学生
Je lui ai dit	我告诉她。
On apprenait	我们学(过去时,第一人称复数)
Et toi quand tu écoutes de la musique, tu danses des fois	你听音乐的时候,有时候跳舞吗?
chanteur d'opéra	歌剧演员
A 3 heures de Paris par le TGV Méditerranée	乘地中海高速列车从巴黎到达马赛需要3小时
Autour de Marseille	马赛周边
un contrôle	测验、考试
j'ai eu	我得了(“eu” 是 “avoir” 的过去分词,“avoir + 过去分词” 是法语复合过去时的构成形式。)=英语的“have got”
Ils sont déçus	他们很失望。
camarade de classe	同学
quittés	分手(quitter的过去分词)
je n'ai jamais eu de petit ami	我从来没有男朋友。(eu:动词 “avoir” 的过去分词形式,“avoir + 过去分词” 是法语复合过去时的构成形式。)
la cinémathèque	电影资料馆
un vieux film	一部老电影
