comme ça sans rien	:就这样,什么都不加。
santé	是名词,表示“健康”,是阴性名词,通常用作不可数名词。
spéciaux	:形容词,意为“特别的”“特殊的”,是“spécial”的复数形式,用于修饰名词,表示某事物与众不同或有特定用途。
les raviolis chinois	饺子
Tous les plats chinois contiennent du poisson	所有中式菜肴都含有鱼。 FAUX
En Chine, il est considéré comme impoli de finir tous les plats à la fin d'un repas, car cela peut signifier que l'hôte n'a pas préparé assez de nourriture	“在中国,吃完所有菜肴被认为是一种不礼貌的行为,因为这可能意味着主人没有准备足够的食物”
il est courant	“这是常见的”
En Chine, certains croient que manger des œufs de cent ans prolonge la vie	“在中国,有些人相信吃皮蛋可以延年益寿。”
En Chine on partage les plats	“在中国,人们共享菜肴。”
Les Français préfèrent le café au thé	“法国人更喜欢咖啡而不是茶。”
En Chine, certains pensent que manger des graines de lotus c'est bon pour la santé	“在中国,有些人认为吃莲子对健康有益。”
amer	是形容词,表示“苦的”
Les Français mangent du foie gras à tous les repas	“法国人在每顿饭都吃鹅肝” - FAUX
ont inventé	“发明了”
il est considéré comme impoli	“被认为不礼貌”
car cela peut signifier	“因为这可能意味着”
levée	:升起的,升起(动词“lever”的过去分词形式,这里是女性单数形式,表示“起床”或“被升起”)。
je suis en forme ce soir	:我今晚状态很好。
une fondue au fromage	:奶酪火锅
une fondue à la viande	:肉类火锅
le baccalauréat	:高考(简称le bac)
dernière	:形容词,表示“最后的”“最近的”“上一次的”,是“dernier”的阴性形式,用于修饰阴性名词。
c'est mieux que la dernière fois	:这次比上次好
jeu	:游戏
menteurs	:说谎者(复数形式)
gratuit	免费的(adj.)
Les français mangent du foie gras à tous les repas	法国人并不是每顿饭都吃鹅肝。 FAUX
meilleure façon	:最好的方式、最好的方法。
couper avec un couteau	:用刀切
jamais	“从未” - 副词
du vin	“葡萄酒” - 名词(du“一些” - 缩合冠词(de + le))
au boeuf	“牛肉的”
On mange du pain et de la confiture	“人们吃面包和果酱”
épicé	辣的
est réputée	“以......闻名”
sa variété	“其种类”
La France est réputée pour sa variété de fromages	“法国以其丰富的奶酪种类而闻名” - VRAI
longue tradition	“悠久的传统”
de cuisine	“烹饪的”
à la vapeur	“用蒸汽”
La Chine a une longue tradition de cuisine à la vapeur	“中国有一个悠久的蒸菜传统” - VRAI
Les escargots	“蜗牛”
