Je lui ai dit	我告诉她。
On apprenait	我们学(过去时,第一人称复数)
Et toi quand tu écoutes de la musique, tu danses des fois	你听音乐的时候,有时候跳舞吗?
chanteur d'opéra	歌剧演员
A 3 heures de Paris par le TGV Méditerranée	乘地中海高速列车从巴黎到达马赛需要3小时
Autour de Marseille	马赛周边
rappeler	提醒
dire encore une fois	再说一次
j'ai mangé des nachos, des tacos, des burritos	我吃了玉米片,玉米卷饼,墨西哥卷饼
du guacamole	牛油果酱
un avocat	律师 / 牛油果
la santé	健康
de temps en temps	偶尔, 时不时地
pensait	想起(复合过去时)(penser的过去未完成时第三人称单数)
ce truc	这个工具
a mis	放置(复合过去时, mettre的第三人称单数)
en colère	生气,“colère” 是阴性名词,意为 “愤怒、生气”,在句子中作表语。
des travaux	工程;施工
Se reposer	休息一下。
se terminent	结束(复合过去时, terminer的第三人称复数)
contemporaine	当代的(adj.)(f.)
gratuite	免费的(adj.)(f.)
hôtel de ville	市政厅;市政府大楼(n.m.)
institut	学院(n.m.)机构
quai	站台;堤岸(n.m.)
SNCF	法国国家铁路公司(全称:Société Nationale des Chemins de Fer Français)
