journaux	报纸
génial	棒,很棒的,十分好
non-fumeur	无烟的
mot de passe	密码
prendre une douche	洗淋浴
propre	干净的,净
réserver	预订
serviette	毛巾,餐巾,巾
clé	钥匙
bain	洗澡,沐浴
neige	雪,下雪
vent	风
nuage	云
dehors	外面
quart	一刻,刻
coucher	卧,上床睡觉
Le palais impérial	故宫
sévère	严格; 严厉的(形容词); 严格
croire	相信(动词); 意为“相信”。; 相信。
encore	还(副词); 副词,此处表示 “还,仍然” =英语的yet; 副词,意为 “还,仍然;再,又;更,更加”,在这里表示 “还”,用于修饰动词 “appris”,说明动作 “学习” 的状态还未完成。
chez toi, qui est fort en informatique	你家里谁擅长计算机?
cauchemars	“cauchemar(噩梦)” 的复数形式
cochon	名词,“猪”,阳性。
tellement	副词,意为 “如此,这样;很,非常;那么些,这么些” ,在本句中表示程度,
Dans la salle il n'y avait que des	华裔 在电影院里只有华裔。
Les immortels	不朽者。
une randonnée	徒步旅行;远足;散步” 的意思,阴性。
elles sont sales	她们脏了
propres	干净的
nettoyer	清洁;打扫;擦拭
j'ai utilisé	"comme d'habitude" 我用了“像往常一样”这个表达
Ah Lisa, qu'est-ce que je vais faire de toi	啊,丽莎,我该拿你怎么办呢?
colères	形容词,“生气的,发怒的”
disait	动词 “dire(说)” 的未完成过去时第三人称单数(il、elle、on)形式
scolaire	学校的
au lieu de	代替=instead of
Tourisme–Vous visitez Montpellier en été avec vos parents	旅游 – 你夏天和父母一起参观蒙彼利埃。
organiser	组织
Votre ami français aimerait vous aider	你的法国朋友想要帮助你。
mettre d'accord	达成一致
l'organisation	组织
cette fête	这场派对
L'examinateur joue le rôle de l'ami français	考官扮演法国朋友的角色。
Vous allez au bureau de tourisme pour demander des informations sur les activités culturelles et sportives, les prix et les transports	你们去旅游局询问有关文化体育活动、价格和交通的信息。
