glace	冰,冰淇淋,淇
achetons	买冰,买,买票
pommes de terre	土豆
poisson	鱼
marché	走,市场,走路
œufs	鸡蛋
les courses	购物
préférer	更喜欢
tomate	番茄,西红柿
acheter	不买,买些,买热
manteau	“外套”或“大衣”
chapeau	帽子n.m.
noir	黑色的,黑,黑色
quarante	四十; 四十
vingt	二十[vɛ̃t]; 二十
le jean	这条牛仔裤
parce qu'elle	因为它,因为她
marron	栗色的
mêmes	相同的,样,同样
parce qu'il	因为,因为他,因为它
même	即使是,连,同样
celles-ci	这些
nouvel	新,新的
porter des lunettes	戴眼镜
celles-là	那些,那双
jaune	黄色的,黄色,黄
porter	戴,带,担
celle-ci	这个
celle-là	那个
bel	美丽的,好看的,美的
nouvelle	新人,消息,新
ceux-là	那些
ceux-ci	这些
manteaux	大衣
chapeaux	帽子,帽
beaux	美丽的,美丽,好看
nouveaux	新,新人,新的
lunettes	眼镜,阴性复数名词; 眼镜,镜
chemise	男式衬衫n.f.; 衬衫,衫
à qui	谁的
d'abord	先,首先
affaires	东西,事儿
colis	包裹
boîte aux lettres	邮筒
fermer	关门
carte postale	明信片
envoyer	寄
la queue	队伍,排队
poste	邮局
timbre	邮票
attendez	等待
au téléphone	在电话上
banquier	银行员
nos	我们的; 我们的
bagage	行李; 行李
vos	你们的,妳们的,您的; 您的,妳们的,你们的
garçon	男孩; 男孩
ce sont	他们是;她们是; 他们是,她们是
moins	少,差,不如; 较少,差
ouvre	打开; 打开
attendre	等待; 等待
