bravery	(n.)勇敢，勇气
sweetener	(n.)甜味剂
worry	"v.担心，操心；n.烦恼，焦虑，担忧"
Mexican	"adj.墨西哥的；n.墨西哥人"
sigh	"n.叹气，叹息；v.叹息，叹气"
sidewalk	(n.)（马路边的）人行道
professor	(n.)教授
persuade	(v.)说服
ridge	山脊;(n.)脊，山脉；隆起
known	(v.)知道，认识（know的过去分词）；adj.有名的;"v.知道，认识（know的过去分词）"
respond	回答；回应；作出反应;"v.回答，回复；做出反应；回应"
detector	(n.)探测器
distance	(n.)距离
videophone	(n.)可视电话
victim	受害者；牺牲品;(n.)受害者
Russian	"adj.俄罗斯的，俄语的；n.俄罗斯人，俄语"
pandemic	"adj.全球（全国）流行的；普遍的；n.大规模流行病"
blogger	(n.) 写博客的人，博主
individualized	"v.赋予个性，个别地加以考虑"
steward	(n.)管家；乘务员，服务员
aluminum	(n.)铝（同aluminium）
Asia	(n.)亚洲
side	"n.一边，一侧；面；边；一方，一派；adj.副的"
opera	(n.)歌剧
imitate	(vt.)模仿
practical	"adj.实际的，实践的；实用的，可行的"
playground	"n.操场，游乐区，（学校或公园中的）游戏场"
swallow	(v.)咽下
intelligence	(n.)智力；智能
appendix	(n.)阑尾；附录
decision	(n.)决定
statesman	(n.)政治家
teenage	(adj.)青少年（13～19岁）的
please	(excl.)请；v.使快乐
instant	(n.)瞬间
secure	(v.)确保；adj.安全的
hate	"v.不喜欢，讨厌；n.恨，憎恶"
rose	(n.)玫瑰，蔷薇
spiritual	(adj.)精神（上）的
reproduction	(n.)繁殖
sometimes	(adv.)有时，间或
infection	(n.)感染；传染病
out of breath	(phr.)上气不接下气
determination	(n.)决心
misread	(vt.)读错，误解
twist	"v.扭；n.（形势或事态的）意外转折"
humankind	(n.)(总称)人类
generous	(adj.)慷慨大方的
religion	(n.)宗教信仰；虔诚的追求
property	(n.)财物；财产
foster	(v.)培养
especially	(adv.)尤其；特别
suite	(n.)（旅馆的）套间
office	(n.)办公室
performer	(n.)表演者
honey	(n.)蜜，蜂蜜
image	(n.)形象；图像
lessen	(v.)减轻；减少
closely	(adv.)严密地；密切地
imagination	(n.)想象力；想象
healthy	(adj.)健康的；合理的
sympathy	(n.)同情
global	(adj.)全球的
Jewish	(adj.)犹太人的
rent	(v.)租；n.租金
campaign	（政治、商业性等）“运动；活动”;"n.（社会性、政治性）活动，运动"
privilege	(n.)特权，优待
analysis	(n.)分析
inspect	(v.)检查，审查
balance	(n.)平衡，平衡能力
pure	(adj.)纯粹的
snake	(n.)蛇
changeable	(adj.)多变的
spin	"v.有倾向性地陈述；（尤指）以有利于自己的口吻…"
trap	(v.)困住；n.陷阱
curiously	(adv.)好奇地
nationalism	(n.)民族主义，国家主义
bat	(n.)蝙蝠；球棒，球拍
label	"n.标签；v.把……称为，贴标签于……"
oppose	(v.)反对
supper	(n.)晚餐
skull	(n.)头颅，颅骨
punctual	(adj.)准时的，守时的
anger	(n.)愤怒
misjudgment	(n.)判断错误
underwear	(n.)内衣裤
foot	(n.)脚；(pl.feet)英尺；底部
pole	(n.)（行星的）极，地极
neglect	"v.疏于照料，忽视；n.疏忽，忽视"
sprain	(v.)扭伤（关节）；n.扭伤
