a bit of有一点儿
a kind of一种；一类
a lot of 许多=lots of
a pair of一双；一副
a piece of一张，一块，一片，一件
according to按照；根据
add...to加上
agree with somebody同意某人的意见
all over到处
all right行了；好吧=OK；（病）好了
and so on等等
amusement park游乐园；娱乐公园
apologize to somebody for something为了某事向某人道歉
say sorry to somebody for something为了某事向某人道歉
arrive at a place到达某地，也可能是arrive in（取决于后面的地点）== get to。。。/reach。。。
as...as像。。。一样；如同
as soon as一。。。就
as soon as possible尽快
as well也；又 == also
at breakfast早餐时
at lunch午餐时
at first at last 起先；开始的时候/最后；终于
at home 在家(里)
at least at most 至少/至多
at the end of 在……结束的时候
at the same time 同时
at weekends or on weekends 在周末
at work 在 工 作
based on 以……为依据；以……为基础
be able to 能够(有能力) be afraid of 害怕
be angry with somebody 生某人的气
be bad for 有害于
be born 出生
be busy with something or be busy doing something. 忙于做某事
be careful with 小心
be connected to or with 与……有联系
be covered with 被……覆盖
be different from 与……不同
be or get familiar to or with 对……熟悉；通晓
be famous for 以……而著名
be fond of 爱好
a couple of两个；几个 = several，修饰可数名词
above all首先，尤其；最重要的是
after all终究；毕竟
all the way一路上
as long as只要
ask for 请求；寻求
at supper 晚餐时
at once 立刻；马上
at present 现在，目前
remember doing	记得曾做过
remember to do	记得要去做
forget doing	忘记曾做过
forget to do	忘记要去做
stop doing	停下手中事
stop to do	停下做另一事
try doing	尝试做某事
hate doing something.	讨厌
practice doing something.	练习
feel like doing something.	想要
finish doing something.	结束
mind doing something.	介意
deny doing something.	否认
suggest doing something.	建议
keep doing something.	保持
enjoy doing something.	喜欢
prefer doing something.	喜欢
love doing something.	喜欢=like doing sth.
seem to do something.	似乎
want to do something.	想要
would like to do something.	想要
plan to do something.	计划
decide to do something.	决定
promise to do something.	承诺
hope to do something.	希望
wish to do something.	希望做某事：指对某件事情或行为抱有希望、愿望的意愿。
manage to do something.	做成
refuse to do something.	拒绝
allow somebody. to do	允许
encourage somebody. to do	鼓励
invite somebody. to do	邀请
tell somebody. to do	告诉
want somebody. to do	想要
help somebody. to do	帮助 = help sb. do
a bit of	有一点儿
can't help doing something.	忍不住
try to do	尽力去做某事
admit doing something.	承认
consider doing something.	考虑
start to do something.	开始
need to do something.	需要
agree to do something.	同意
offer to do something.	主动
expect to do something.	期望做某事：指对未来某事的预期或期望，表示希望或预计会发生某种情况或结果。
fail to do something.	失败
advise somebody. to do	忠告
ask somebody. to do	请求
expect somebody. to do	期待
warn somebody. to do	警告
enable somebody. to do	使能够
a lot of	许多=lots of
a pair of	一双；一副
a piece of	一张，一块，一片，一件
a couple of	两个；几个 = several，修饰可数名词
a kind of	一种；一类
above all	首先，尤其=at first；最重要的是=in the first place
