scare	(v.) 使害怕 ，惊吓
fabric	(n.) 布料 ，织物
transportation	(n.) 交通；运输
lower	(v.) 降低 ，减少
obtain	(v.) 获得 ，赢得 ，取得
angle	(n.) 角度；立场
capable	(adj.) 有本领的 ，有能力的
weed	(n.) 杂草 ，野草；   v. 除杂草
limitation	(n.) 限制 ，局限性
expansion	(n.) 扩大 ，扩充 ，扩张 ，扩展
variable	"n. 变量 ，可变物；   adj. 易 变的 ，可变的"
comprise	(vt.) 构成，  由 … …组成
struggle	(v.) 挣扎；   n. 斗争
accomplish	"vt. 实现； （通过努力）  完 成"
impact	(n.) 影响；   v. 影响
scan	(v.) 扫描；   n. 扫描
modify	(v.) 更改，  改造
monopoly	"n. 垄断；垄断商品；专卖商 品"
cite	(vt.) 引用，  引证
occur	(vi.) 发生
tone	(n.) 语气
faith	(n.) 宗教信仰；信心
noble	(adj.) 贵族的 ，高贵的
mammal	(n.) 哺乳动物
middle	"adj. 中部的，  中间的；   n. 中部，  中间"
apparently	(adv.) 显然
compromise	"n. 妥协 ，折中；   v. 使遭受 危险"
boredom	(n.) 厌倦 ，无聊
massive	"adj. 大规模的；  巨大的；大 量的；非常严重的"
reputation	(n.) 名誉 ，名声
index	(n.) 指数
machinery	(n.) 机器 ，机关
vacation	(n.) 假期；   vi. 度假
laundry	"n. 洗衣物 ，洗衣物的活；洗 衣房；洗衣店；要洗的衣服"
detailed	(adj.) 详细的
launch	(v.) 发射；创办 ，开始从事
manufacture	(v.) （批量）  生产 ，制造
motivate	(vt.) 激励
feather	(n.) 羽毛
bias	(n.) 偏见；   v. 使有偏见
feedback	(n.) 反馈
vegetation	(n.) 植被
substantial	(adj.) 大量的
industrial	(adj.) 工业的
commerce	(n.) 商业，  贸易
journalism	(n.) 新闻业
reinforce	(v.) 加强
brick	(n.) 砖
gradual	(adj.) 逐渐的
desire	"n. 渴望；愿望；   vt. 希望， 渴望"
shipbuilder	(n.) 造船工人
stretch	(v.) 伸展 ，延伸，  张开
resolve	"v. 解决（问题或困难）   ；消 除"
battle	(n.) 战役，  战斗；   v. 奋斗
monumental	(adj.) 意义深远的 ，不朽的
fraction	(n.) 部分 ，片段
triple	(adj.) 三倍的
workforce	(n.) 劳动力
eventually	(adv.) 终于 ，最后
tuition	(n.) 学费
addition	(n.) 附加物
responsible	(adj.) 负有责任的
structure	(n.) 结构；建筑物
optional	(adj.) 可选择的
characteristic	(n.) 特征
knowledgeable	(adj.) 学识渊博的 ，有见识的
intensity	(n.) 强烈 ，剧烈
digest	(n.) 文摘
humanity	(n.) 人类； （复数）  人文学科
exception	(n.) 例外
presumably	(adv.) 大概 ，据推测 ，可能
survey	(n.) 调查；   v. 调查
mental	(adj.) 心理的；精神的
standard	"n. 标准 ，规格；   adj. 标准 的"
construct	(v.) 建造
automatic	(adj.) 自动的
violence	(n.) 暴力 ，暴行
unprecedented	"adj. 前所未有的 ，空前的， 无前例的"
disturb	(v.) 妨碍；使不安
misunderstanding	(n.) 误解 ，误会 ，不和
tank	(v.) 彻底失败 ，快速减少
appoint	(v.) 委派 ，任命
editor	(n.) （报刊 、杂志的）编辑
cope	(vi.) 处理 ，应对
radiation	(n.) 辐射
virgin	(adj.) 原始的 ，未开发的
immigrant	(n.) 移民 ，外侨
immune	(adj.) 免疫的；不受影响的
greatly	(adv.) 大大地；很
sunlight	(n.) 阳光
balance	"n. 平衡 ，平衡能力；   v. 平 衡"
volcano	(n.) 火山
gather	(v.) 收集
worth	(adj.) 值得的；   n. 价值
chief	(adj.) 首席的 ，最高级别的
confine	(v.) 限制
lid	(n.) 盖 ，盖子
minority	"n. 少数民族；少数派 ，少数 人"
intervention	(n.) 调停
visible	(adj.) 看得见的
facility	(n.) 设施 ，设备
maintain	(v.) 保持 ，维持；维护 ，维修
glue	(n.) 胶水
excess	"adj. 额外的 ，过量的 ，过度 的，  附加的（读作/ …"
surface	"n. 表面 ，表层；   v. 浮出水 面"
destruction	(n.) 破坏 ，毁灭
devastate	(v.) 摧毁
data	(n.) 数据
harm	(n.) 伤害 ，损害；   v. 伤害
